"","ResponseId","Q2","Q11","t2"
"83","R_2PByTVAY61p6BO1","tennessee","okra","okra"
"84","R_W8wRZmaMaJV7BQt","mississippi","chicken","fries chicken eggs"
"85","R_W8wRZmaMaJV7BQt","mississippi","eggs","fries chicken eggs"
"86","R_1FKhqMOiC9l8pcV","arkansas","rice","rice"
"87","R_1i8mg50u4l29ySp","tennessee","apple","apple"
"88","R_1i8mg50u4l29ySp","tennessee","oranges","oranges"
"89","R_1i8mg50u4l29ySp","tennessee","peaches","peaches"
"90","R_O7t96CHYO1BSMYV","mississippi","seafood","fish"
"91","R_2uwIGXQUUW9s95a","arkansas","soybeans","soybeans"
"92","R_3dHbrOEf2YJc7zR","arkansas","corn","corn"
"93","R_2R2pBFsLTG7EPBA","louisiana","seafood","crawfish"
"94","R_1femMDuDa4308t6","arkansas","cotton","cotton"
"95","R_2wuHzNWG1NHjN9m","tennessee","eggs","eggs"
"96","R_3Jz7f1CjMViOIDS","mississippi","okra","okra"
"97","R_28ZLcOF2mg5ec3n","louisiana","watermelon","watermelon"
"98","R_3k5OWxnQXRbgm7M","louisiana","apple","apple"
"99","R_w7txZSWBfWQhfzj","missouri","corn","corn"
"100","R_3PTSaEW0yvrQhJr","arkansas","corn","corn"
"101","R_3Oku1nKTYSw4cOX","mississippi","corn","corn"
"102","R_1K0GwPlw2cfAfnl","tennessee","corn","corn"
"103","R_cAzJbmjq6hL891f","arkansas","rice","rice"
"104","R_s5vjz3d0xQLmAox","louisiana","rice","rice"
"105","R_2z8SN691VJolrek","louisiana","rice","rice"
"106","R_Zy6khjmj15btUnD","tennessee","soybeans","soybeans"
"107","R_3oGSjmbPr6r3FcM","louisiana","sugarcane","sugarcane"
"108","R_1QLVxeqwKwJ9zUs","tennessee","grains","grains"
"109","R_1QLVxeqwKwJ9zUs","tennessee","rice","rice"
"110","R_1QLVxeqwKwJ9zUs","tennessee","soybeans","soybeans"
"111","R_1QLVxeqwKwJ9zUs","tennessee","sugarcane","sugarcane"
"112","R_O0CuNmkwlNed3sl","tennessee","beef","beef"
"113","R_3fPjQW3VLLegKC7","tennessee","corn","corn"
"114","R_3fPjQW3VLLegKC7","tennessee","soybeans","soybeans"
"115","R_3fPjQW3VLLegKC7","tennessee","chicken","chicken"
"116","R_3fPjQW3VLLegKC7","tennessee","pork","pork"
"117","R_3RjDD4PGHNmaM6G","arkansas","seafood","fish"
"118","R_3ERmWNvUpfLTY7D","tennessee","rice","rice"
"119","R_8p04YfdzELZuabL","louisiana","seafood","shrimp"
"120","R_8p04YfdzELZuabL","louisiana","seafood","crawfish"
"121","R_3isQGaX2ivKeXH3","louisiana","sugarcane","sugarcane"
"122","R_2DZDmeF3mRz6RiQ","arkansas","chicken","chicken"
"123","R_2DZDmeF3mRz6RiQ","arkansas","turkey","turkey"
"124","R_dhiusyKTIRym18Z","tennessee","chicken","chicken"
"125","R_DucQOojq7L8GAN3","arkansas","rice","rice"
"126","R_DucQOojq7L8GAN3","arkansas","chicken","chicken"
"127","R_xgXkjpDjzn3oyhb","tennessee","pork","pork"
"128","R_300Nf0sbuiilWUs","tennessee","sorghum","sorghum"
"129","R_ddpmpVDzgvtmA0N","arkansas","rice","rice"
"130","R_3QLaGoVejK5Ypsr","arkansas","rice","rice"
"131","R_3QLaGoVejK5Ypsr","arkansas","soybeans","soybeans"
"132","R_3QLaGoVejK5Ypsr","arkansas","corn","corn"
"133","R_307Wlohbz9F8HyO","missouri","walnuts","walnuts"
"134","R_306pq5YpKc2h9Be","mississippi","grits","grits"
"135","R_306pq5YpKc2h9Be","mississippi","rice","rice"
"136","R_306pq5YpKc2h9Be","mississippi","corn","corn"
"137","R_2D1Fh8VbyCJQS8w","missouri","soybeans","soybeans corn"
"138","R_2D1Fh8VbyCJQS8w","missouri","corn","soybeans corn"
"139","R_1IHjIoiFO4LNnwz","louisiana","rice","rice"
"140","R_3KJifjiGpEGLOrP","arkansas","persimmons","persimmons"
"141","R_2QFBEGjSQvOtmlT","missouri","corn","corn"
"142","R_7PMnyWlaLy2DKCJ","tennessee","seafood","shrimp"
"143","R_1CKMYkZ1UXX8D0A","missouri","seafood","fish"
"144","R_RhlKZv4Vv5f65RT","louisiana","grains","grains"
"145","R_2anI7Nk9yrTTeqx","arkansas","soybeans","soybeans"
"146","R_12ncz99768UOzNv","mississippi","seafood","seafood"
"147","R_2UhhIJO5gfYM1sw","mississippi","seafood","fish"
"148","R_Qn6ZD58bb0bHDGx","tennessee","seafood","fish"
"149","R_7Nvtkq5bJMmVhAJ","tennessee","soybeans","soybeans"
"150","R_2Pz2zmHuPQOLHjq","louisiana","sugarcane","sugarcane"
"151","R_2vlaA1s0dkjlVjv","mississippi","seafood","fish"
"152","R_2EHnx2ylSwQcSzm","missouri","cucumber","cucumber"
"153","R_1OTz7cmtvW9Z8oj","louisiana","seafood","seafood"
"154","R_wL5cujiaxZ5ub5v","tennessee","cabbage","cabbage"
"155","R_wL5cujiaxZ5ub5v","tennessee","greenbeans","greenbeans"
"156","R_wL5cujiaxZ5ub5v","tennessee","peas","peas"
"157","R_12A1Meacz3mBpZX","arkansas","carrots","carrots"
"158","R_3LXuuVFMr38Zk4g","missouri","carrots","carrots"
"159","R_3LXuuVFMr38Zk4g","missouri","strawberries","strawberries"
"160","R_3LXuuVFMr38Zk4g","missouri","oranges","oranges"
"161","R_3LXuuVFMr38Zk4g","missouri","celery","celery"
"162","R_ABaXvlDhbnkFaoN","louisiana","carrots","carrots"
"163","R_ABaXvlDhbnkFaoN","louisiana","milk","milk"
"164","R_ABaXvlDhbnkFaoN","louisiana","vegetables","vegetables"
"165","R_2U9Gq2TphxFs8Tq","mississippi","seafood","fish"
"166","R_3J9PfKxzWj47QpB","tennessee","corn","corn"
"167","R_3J9PfKxzWj47QpB","tennessee","soybeans","soybeans"
"168","R_2w6sjvzMr9FNbon","louisiana","seafood","crawfish"
"169","R_DGpKFofphGceHVT","mississippi","chicken","chicken"
"170","R_12GvIsSkKLtze62","missouri","chicken","chicken"
"171","R_2ZBQXdtsolAGJzc","arkansas","corn","corn"
"172","R_12QgrgBL15Cr78g","tennessee","peanuts","peanuts"
"173","R_2R9OS6hQmgbImgD","missouri","honey","honey"
"174","R_12lgzoXg2RXxA1j","tennessee","soybeans","soybeans"
"175","R_12lgzoXg2RXxA1j","tennessee","chicken","chicken"
"176","R_reb9j6ge8XQ4eat","missouri","watermelon","watermelon"
"177","R_reb9j6ge8XQ4eat","missouri","pumpkin","pumpkin"
"178","R_32LMGDBbdhtusxM","missouri","corn","corn"
"179","R_1ifYJFcSEa4YEF5","louisiana","boudin","boudin"
"180","R_PZkKrP9oLwImGoV","mississippi","salad","salad"
"181","R_2ffyo5dCf4RVR1Q","mississippi","chicken","chicken"
"182","R_3lDrpgYoFGBcjd7","mississippi","seafood","crawfish"
"183","R_3nHEWNq2pWMqPxk","missouri","chicken","chicken"
"184","R_1I4qvophyoD3ae1","louisiana","crabboil","crabboil"
"185","R_TuUZ9I5B2r816X7","arkansas","seafood","fish"
"186","R_3K0oeaCobJyXJux","tennessee","beef","beef"
"187","R_300pIARYGb4oPGQ","arkansas","seafood","fish"
"188","R_2qeZ5QZu4qRkUOu","arkansas","seafood","fish"
"189","R_1mxfl6FNHxPLA49","arkansas","ham","ham"
"190","R_1feen7wgfyo194I","arkansas","ribs","ribs"
"191","R_eEytfWxSRP2S093","missouri","meat","meat"
"192","R_881fKdnoK9NMWM9","tennessee","none","none"
"193","R_1hXsbdYsY8nNztw","missouri","beef","beef"
"194","R_22EKbbiEPtIpytC","arkansas","corn","corn"
"195","R_1q9YUdohPrgqkdJ","missouri","tobacco","tobacco"
"196","R_1q9YUdohPrgqkdJ","missouri","cotton","cotton"
"197","R_3oKM0Z0maPKE7ZO","louisiana","seafood","fish"
"198","R_3oKM0Z0maPKE7ZO","louisiana","chicken","chicken"
"199","R_3oKM0Z0maPKE7ZO","louisiana","bread","bread"
"200","R_2OPf7A7rtPisK1B","tennessee","corn","corn"
"201","R_3O7y6jW29GCxT2R","mississippi","soybeans","soybeans"
"202","R_25Nt93AHs5wKN03","arkansas","none","none"
"203","R_1mEgpHzr9DWS0AP","arkansas","rice","rice soybean"
"204","R_1mEgpHzr9DWS0AP","arkansas","soybean","rice soybean"
"205","R_2fiB4oxoHTvIksa","arkansas","seafood","fish"
"206","R_2fiB4oxoHTvIksa","arkansas","seafood","shrimp"
"207","R_2pQOfwfLvPHOIHd","tennessee","seafood","fish"
"208","R_2afr7EMkyA40VfT","missouri","corn","corn"
"209","R_3nHv5WMBa23QRFt","louisiana","sugarcane","sugarcane"
"210","R_3nHv5WMBa23QRFt","louisiana","soybeans","soybeans"
"211","R_2aeiotnsywye4Dy","missouri","deltatamales","deltatamales"
"212","R_3s4uPnPySqFDQLH","louisiana","deltatamales","deltatamales"
"213","R_1I6PZ8l7dCVCls6","tennessee","seafood","crawfish"
"214","R_8AkyGtTm4tuSvLj","missouri","soybeans","soybeans"
"215","R_1lav0sunNG0Qmfz","mississippi","soybeans","soybeans"
"216","R_3jdGGJPu6R8QTke","tennessee","soybeans","soybeans"
"217","R_2ALU7wXvI5QzvVv","arkansas","soybeans","soybeans"
"218","R_22Mm9oIww4BbR5F","arkansas","berries","berries"
"219","R_1r1eZsZzQ9D7W7T","tennessee","biscuits","biscuits"
"220","R_2EF9ot7XdcZZVPZ","mississippi","seafood","fish"
"221","R_1DXYFwSQN6zF7BZ","tennessee","catfish","catfish walleye bass"
"222","R_1DXYFwSQN6zF7BZ","tennessee","walleye","catfish walleye bass"
"223","R_1DXYFwSQN6zF7BZ","tennessee","bass","catfish walleye bass"
"224","R_uro95TXdK7IwFB7","arkansas","chicken","chicken"
"225","R_3M9g5gVVKkAPoDs","arkansas","chicken","chicken"
"226","R_rkijmAYC2U7bBOV","mississippi","chicken","chicken"
"227","R_3GdjF3qGZMkWDkb","mississippi","chicken","chicken"
"228","R_1hXwXAfGo51cjec","tennessee","corn","corn"
"229","R_8p4gt89jsUJUwqB","tennessee","corn","corn"
"230","R_3hfMF7EhZgxP0Z8","arkansas","corn","corn"
"231","R_1j9EB3lwccW9Uyq","mississippi","corn","corn"
"232","R_1ImcJGPYZNFjFRF","tennessee","corn","corn"
"233","R_1N1TQJhstpZZArS","tennessee","corn","corn"
"234","R_1LRtkeqS8gOzilj","louisiana","corn","corn"
"235","R_3dREXbRV6YlTHvY","arkansas","corn","corn"
"236","R_1nPZCQY9nuIecSj","arkansas","corn","corn rice"
"237","R_1nPZCQY9nuIecSj","arkansas","rice","corn rice"
"238","R_3k7gkQCIMn7zeoq","missouri","corn","corn"
"239","R_3k7gkQCIMn7zeoq","missouri","soybeans","soybeans"
"240","R_22Rg53VseMVo71q","louisiana","cotton","cotton"
"241","R_1fjZh0XZmgL37Tr","mississippi","cotton","cotton"
"242","R_2trIPu5HBM0td3e","louisiana","cracklins","cracklins"
"243","R_xt4DP40Yi9F0NMJ","arkansas","seafood","crawfish"
"244","R_1EhX3irrvj8Mcod","tennessee","fruit","fruit"
"245","R_2aRXfnq95ne7Vdh","louisiana","greens","greens"
"246","R_2frnJtyV4GtAPTW","missouri","none","none"
"247","R_UgQkGH9XK62NdqF","louisiana","jambalaya","jambalaya"
"248","R_27qITEcHl4P4tSd","tennessee","melons","melons"
"249","R_322vCWidCAL08s9","louisiana","none","none"
"250","R_UX4SH9R034cT6Wl","missouri","none","none"
"251","R_9WFdQtnJiwcPAw9","missouri","peaches","peaches"
"252","R_2WUbusOBjbYiaF9","louisiana","peas","peas
pecans
peaches"
"253","R_2WUbusOBjbYiaF9","louisiana","pecans","peas
pecans
peaches"
"254","R_2WUbusOBjbYiaF9","louisiana","peaches","peas
pecans
peaches"
"255","R_3ERLl9LouSonNWx","missouri","pork","pork"
"256","R_VWJJW8aCtVMMj6x","arkansas","potatoes","potatoes"
"257","R_2SqObJChMQv0ois","arkansas","rice","rice"
"258","R_1hS7pxpqjR0suzL","tennessee","rice","rice"
"259","R_2rqMYwjz8ABlALh","arkansas","rice","rice"
"260","R_2460HniuQGxmDen","arkansas","rice","rice"
"261","R_2PiMpsFMYymP8UF","missouri","rice","rice"
"262","R_Olk06nJNiMuai2J","missouri","rice","rice"
"263","R_3HFbCBzPORU0BYH","arkansas","rice","rice"
"264","R_yHD93FagsBQjc5j","mississippi","rice","rice hay"
"265","R_yHD93FagsBQjc5j","mississippi","hay","rice hay"
"266","R_2feQAlHYBk9HpMq","mississippi","rice","rice"
"267","R_2feQAlHYBk9HpMq","mississippi","soybeans","soybeans"
"268","R_DtVqFM7Mv42zSXn","tennessee","rice","rice"
"269","R_DtVqFM7Mv42zSXn","tennessee","corn","corn"
"270","R_DtVqFM7Mv42zSXn","tennessee","soybeans","soybeans oranges"
"271","R_DtVqFM7Mv42zSXn","tennessee","oranges","soybeans oranges"
"272","R_DtVqFM7Mv42zSXn","tennessee","pineapple","pineapple"
"273","R_1goIVfvTvrbnmJW","arkansas","rice","rice"
"274","R_1goIVfvTvrbnmJW","arkansas","wheat","wheat"
"275","R_3CIXxbdp3H1vN7s","arkansas","rice","rice"
"276","R_23ZZFSye7yXqTNd","arkansas","seafood","seafood"
"277","R_DJ2WJbb2jrkpJsJ","louisiana","seafood","seafood"
"278","R_1gc50Pn0u49o66K","mississippi","seafood","shrimp"
"279","R_wRYTguHw0ad4Ii5","missouri","soybeans","soybeans"
"280","R_10IOLrIQJeb5pRm","mississippi","soybeans","soybeans"
"281","R_RIX4Mbwr6lkVSo1","missouri","soybeans","soybeans"
"282","R_RIX4Mbwr6lkVSo1","missouri","corn","corn"
"283","R_qL70MAnLYxHbGcV","missouri","soybeans","soybeans"
"284","R_3NJz0StAdtLO0Dk","missouri","soybeans","soybeans"
"285","R_sGQ7YR7ffi1Gked","arkansas","soybeans","soybeans"
"286","R_6swzRuKu2PPvZKh","arkansas","soybeans","soybeans"
"287","R_DMZwudiC7MCDl5f","missouri","soybeans","soybeans"
"288","R_vYJJOqz7DBeFfJD","louisiana","strawberries","strawberries"
"289","R_zffQxkcbi8dZ7XP","louisiana","sugarcane","sugarcane"
"290","R_9ts3XSUmniyWhTr","louisiana","sugarcane","sugarcane"
"291","R_W08OCDLBCcJNkid","tennessee","tobacco","tobacco"
"292","R_1IENNfwe3UBPhYJ","missouri","watermelon","watermelon"
"293","R_1gGu7GIo8RWywDr","missouri","wheat","wheat"
"294","R_BYaZGtJ6lMpAJgZ","missouri","wheat","wheat"
"295","R_20ZhjSkkv69x7pi","missouri","wheat","wheat"
"296","R_25si3at0M2qgaMA","missouri","wheat","wheat"
"297","R_C3v9p4utMuCTyeJ","tennessee","corn","corn"
"298","R_3jVGfK3mvPgsexm","arkansas","cotton","cotton soybeans rice corn"
"299","R_3jVGfK3mvPgsexm","arkansas","soybeans","cotton soybeans rice corn"
"300","R_3jVGfK3mvPgsexm","arkansas","rice","cotton soybeans rice corn"
"301","R_3jVGfK3mvPgsexm","arkansas","corn","cotton soybeans rice corn"
"302","R_1jTkHYYPJYrV7nU","louisiana","greens","greens"
"303","R_2bIbzXrxEZKoFK4","arkansas","pork","pork"
"304","R_1kIJwYD7ptZuebI","mississippi","potatoes","potatoes"
"305","R_1kIJwYD7ptZuebI","mississippi","corn","corn"
"306","R_1kIJwYD7ptZuebI","mississippi","peas","peas"
"307","R_3Msd4YDc6biKHys","arkansas","rice","rice"
"308","R_302IFSrdFsUamlM","louisiana","seafood","shrimp"
"309","R_abNqQu7Gm5F5IY1","mississippi","wheat","wheat"
"310","R_AgnSa8NyQRtOFdn","tennessee","corn","corn   sorghum  rice  sugar"
"311","R_AgnSa8NyQRtOFdn","tennessee","sorghum","corn   sorghum  rice  sugar"
"312","R_AgnSa8NyQRtOFdn","tennessee","rice","corn   sorghum  rice  sugar"
"313","R_AgnSa8NyQRtOFdn","tennessee","sugarcane","corn   sorghum  rice  sugar"
"314","R_30dSdiVkQBdKFbp","louisiana","greens","greens"
"315","R_2U9L3sII2mPnczI","tennessee","none","none"
"316","R_1GEbazY4sTfqDoM","arkansas","seafood","fish"
"317","R_31ZR649ObxPqTYC","arkansas","corn","corn"
"318","R_21dq62J3Pr2PwFf","arkansas","corn","corn"
"319","R_p0q15WuNJB7nEVX","louisiana","seafood","crawfish"
"320","R_p0q15WuNJB7nEVX","louisiana","rice","rice"
"321","R_p0q15WuNJB7nEVX","louisiana","okra","okra"
"322","R_1MTmruJPz8dfvME","louisiana","corn","corn"
"323","R_1MTmruJPz8dfvME","louisiana","rice","rice"
"324","R_RWgGvDT5kzgjFKN","tennessee","cotton","cotton"
"325","R_3FKlcaTfJqDfR1p","missouri","beets","beets"
"326","R_3FKlcaTfJqDfR1p","missouri","corn","corn"
"327","R_3et3J7o58yaO1Ai","tennessee","corn","corn"
"328","R_3et3J7o58yaO1Ai","tennessee","potatoes","potatoes"
"329","R_SUUCiVYZDXx4SAx","missouri","corn","corn"
"330","R_2RQ6chgrkULGokO","missouri","seafood","crawfish"
"331","R_3Pnv0l16kdpithb","tennessee","okra","okra"
"332","R_2Sdxw3rsdtxYPOZ","missouri","corn","corn"
"333","R_OrtmMwqVBGosNUd","missouri","corn","corn potatoes"
"334","R_OrtmMwqVBGosNUd","missouri","potatoes","corn potatoes"
"335","R_5yYkMQp0YVhidRn","louisiana","corn","corn sugarcane"
"336","R_5yYkMQp0YVhidRn","louisiana","sugarcane","corn sugarcane"
"337","R_3kc5EzVK2SfouSu","missouri","cotton","cotton"
"338","R_3CWv5Q0xcEGyCYg","mississippi","cotton","cotton"
"339","R_3Hwx7aVZ0BKhSKA","tennessee","rice","rice"
"340","R_6KHK9nJ7vJ17nYB","arkansas","rice","rice"
"341","R_6KHK9nJ7vJ17nYB","arkansas","soybeans","soybeans"
"342","R_6KHK9nJ7vJ17nYB","arkansas","corn","corn"
"343","R_XU7jxxCDaukwa7D","arkansas","soybeans","soybeans"
"344","R_3ERJGibVf9qgCwY","arkansas","soybeans","soybeans"
"345","R_2U9nIq3WxrrwJKq","missouri","corn","corn"
"346","R_1PZdG5UFaKe7RT8","arkansas","rice","rice"
"347","R_1i42hCcaxqeVX8G","louisiana","rice","rice"
"348","R_1i42hCcaxqeVX8G","louisiana","sugarcane","sugarcane"
"349","R_eJQ3XC5Qnp1rgCR","arkansas","chicken","chicken"
"350","R_1dnIFZ3QcmQNmbs","tennessee","cotton","cotton"
"351","R_1dnIFZ3QcmQNmbs","tennessee","corn","corn"
"352","R_3JC5FzXIheLpAfI","mississippi","peaches","peaches"
"353","R_2PinBGnJcFybN89","louisiana","sugarcane","sugarcane"
"354","R_1oI0uYfPhxp8pob","tennessee","seafood","fish shrimp"
"355","R_1oI0uYfPhxp8pob","tennessee","seafood","fish shrimp"
"356","R_VW6iEjl9V5M0ssF","missouri","seafood","fish"
"357","R_2AEHD1nZwwoPWjs","louisiana","seafood","seafood shrimp"
"358","R_2AEHD1nZwwoPWjs","louisiana","seafood","seafood shrimp"
"359","R_2AEHD1nZwwoPWjs","louisiana","seafood","fish"
"360","R_12nA0dEYYozbdfK","tennessee","jambalaya","jambalaya"
"361","R_2VamYsZRPuC1Sdf","tennessee","seafood","fish"
"362","R_0TlzullSleRIqM9","louisiana","cotton","cotton"
"363","R_2uKUOALhcfDSHnt","louisiana","cotton","cotton"
"364","R_O9I2XuHB7hzHKbD","louisiana","seafood","crawfish"
"365","R_eV9Fyb7HVtCvlvz","arkansas","seafood","crawfish"
"366","R_3ETmBxlLPbqCp8w","louisiana","seafood","fish"
"367","R_ALR55JZJ4YmRPRD","louisiana","rice","rice"
"368","R_3JKmnU3VfiakVPi","louisiana","catfish","catfish 
walleye
bass"
"369","R_3JKmnU3VfiakVPi","louisiana","walleye","catfish 
walleye
bass"
"370","R_3JKmnU3VfiakVPi","louisiana","bass","catfish 
walleye
bass"
"371","R_1jlD21juAlBvGX1","arkansas","jambalaya","jambalaya"
"372","R_1jlD21juAlBvGX1","arkansas","boudin","boudin"
"373","R_7R7xgbpbehm5YLn","louisiana","seafood","seafood"
"374","R_ThLLQvOATpPfJuN","missouri","seafood","crawfish"
"375","R_1fjEzogI9IEp6OM","arkansas","grits","grits"
"376","R_1fjEzogI9IEp6OM","arkansas","seafood","fish"
"377","R_1fjEzogI9IEp6OM","arkansas","seafood","shrimp"
"378","R_1fjEzogI9IEp6OM","arkansas","seafood","fish"
"379","R_1fjEzogI9IEp6OM","arkansas","pickledcucumber","pickledcucumber"
"380","R_2sapRH7CqPEcShi","louisiana","alligator","alligator"
"381","R_2QgFqZJc9knWukb","louisiana","catfish","catfish alligator"
"382","R_2QgFqZJc9knWukb","louisiana","alligator","catfish alligator"
"383","R_OvYrn2t6A9Hl8it","arkansas","corn","corn"
"384","R_dal2wIgxE7dcnBv","tennessee","none","none"
"385","R_3BQ4TFkrgf8GXEl","tennessee","corn","corn"
"386","R_2PtW7RgfOGnA4Ic","arkansas","pecans","pecans"
"387","R_3MSWcMISJ3GKSTe","tennessee","sugarcane","sugarcane"
"388","R_1LSz2SshEBzNhJP","tennessee","none","none"
"389","R_2V8cFX8KmyTxSeC","tennessee","none","none"
"390","R_3Ld0GWPsOeWjRzW","tennessee","corn","corn"
"391","R_2SodRXZ5AwYGuYT","missouri","cotton","cotton"
"392","R_2SodRXZ5AwYGuYT","missouri","tobacco","tobacco okra collardgreens"
"393","R_2SodRXZ5AwYGuYT","missouri","okra","tobacco okra collardgreens"
"394","R_2SodRXZ5AwYGuYT","missouri","collardgreens","tobacco okra collardgreens"
"395","R_UFJdn1Hz7SZTDhL","tennessee","none","none"
"396","R_12FLly9evLeuPxh","missouri","none","none"
"397","R_2c5HnD64o3vFVdM","tennessee","none","none"
"398","R_1OpebpYRFiDd46Q","missouri","seafood","fish"
"399","R_88rrPkgvid60ZfH","missouri","none","none"
"400","R_UngJJf9wyXVx0EF","louisiana","potatoes","potatoes"
"401","R_1FFfGUHfjrZK62p","arkansas","squash","squash"
"402","R_2EsDMnfrdyMr7V0","louisiana","sugarcane","sugarcane"
"403","R_3OdECDt9LzEgDUr","mississippi","sweetpotatoes","sweetpotatoes"
