ResponseId,LocationLatitude,LocationLongitude,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q1,state,Q39_First Click,Q39_Last Click,Q39_Page Submit,Q39_Click Count,delta_timer_First Click,delta_timer_Last Click,delta_timer_Page Submit,delta_timer_Click Count,cornd,cornd_high,cornd_low,melond,melond_high,melond_low,taterd,taterd_high,taterd_low,riced,riced_high,riced_low,materd,materd_high,materd_low,black_timer_First Click,black_timer_Last Click,black_timer_Page Submit,black_timer_Click Count,melonb,melonb_high,melonb_low,cornb,cornb_high,cornb_low,taterb,taterb_high,taterb_low,riceb,riceb_high,riceb_low,materb,materb_high ,materb_low ,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q58,Q59,Q24 w attn check_1,Q24 w attn check_2,Q24 w attn check_3,Q24 w attn check_4,Q24 w attn check_5,Q102,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q13,Q14,Q15,Q16,Q17,Q18,Q21,Q93,corn_l,corn_h,melon_l,melon_h,mater_l,mater_h,rice_l,rice_h,tater_l,tater_h,corn_low,corn_high,melon_low,melon_high,mater_low,mater_high,rice_low,rice_high,tater_low,tater_high,PROLIFIC_PID,STUDY_ID,full_launch,gc,term,target_state,black,attention
R_14TI4N03i7Ty2xb,36.586,-83.6458,1,TRUE,1,44,0,0,6.453,0,0,0,18.192,0,2,2,,2,2,,2,2,,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,5,5,2,3,3,5,2,1,5,5,5,5,5,"1,3,5",5,4,2,5,3,1,1,5,1,1,1,7,400,1,2,27,37,429,554,81,122,153,197,74,113,0.27,0.37,4.29,5.54,0.81,1.22,1.53,1.97,0.74,1.13,5d42486206811e001ada5b4b,SixStateSample,1,,,1,0,1
R_11aBelcEzxoyACd,35.8218,-84.048,1,,1,44,0,0,4.473,0,,,,,,,,,,,,,,,,,,,,19.296,19.296,40.554,1,2,1,,2,1,,2,1,,2,1,,2,1,,5,5,2,3,3,4,2,7,5,4,5,5,3,"4,5,7",3,4,4,6,1,1,3,5,1,1,1,11,400,1,4,27,39,394,556,78,118,130,210,71,127,0.27,0.39,3.94,5.56,0.78,1.18,1.3,2.1,0.71,1.27,65c2930167159a6c2d475b73,SixStateSample,1,,,1,1,1
R_1qWO0Zj5H4I4W30,37.3022,-89.5161,1,TRUE,1,26,11.873,12.513,13.197,2,,,,,,,,,,,,,,,,,,,,6.967,49.333,55.772,11,2,1,,2,1,,2,1,,2,1,,2,1,,4,5,2,3,3,5,2,3,5,5,5,5,4,"4,5,7",1,2,1,3,1,1,1,3,1,2,1,2,150,1,2,29,39,383,633,77,111,154,215,77,126,0.29,0.39,3.83,6.33,0.77,1.11,1.54,2.15,0.77,1.26,6665fb9d3202800c8227cde5,SixStateSample,1,,,1,1,1
R_5VvVxN5im9Gbg69,35.8677,-86.4174,1,,1,44,0.864,0.864,6.45,1,,,,,,,,,,,,,,,,,,,,1.614,1.614,20.018,1,2,1,,2,1,,2,1,,2,1,,2,1,,4,4,2,4,4,4,2,2,4,4,3,5,3,"2,4,5",3,4,4,6,4,2,4,4,2,1,1,12,150,1,3,29,36,440,575,82,115,133,208,74,112,0.29,0.36,4.4,5.75,0.82,1.15,1.33,2.08,0.74,1.12,66a844cc10e0a2b141015a8c,SixStateSample,1,,,1,1,1
R_37QJ0PpcvwWmssG,34.0095,-81.0819,1,,1,42,0.916,0.916,2.734,1,0.766,2.315,10.695,3,2,1,,2,2,,2,2,,1,,2,2,2,,,,,,,,,,,,,,,,,,,,,5,5,2,5,5,5,2,4,4,4,4,5,4,"1,2,3",1,1,1,2,1,1,1,4,2,1,1,3,300,2,7,25,40,442,614,78,123,149,199,70,125,0.25,0.4,4.42,6.14,0.78,1.23,1.49,1.99,0.7,1.25,66cfb60644e7926d0a9a8ded,RestOfUS,1,,,0,0,1
R_1TEPHhAxGLysMCx,35.483,-97.5363,1,,1,37,0,0,4.94,0,0,0,14.426,0,2,1,,2,1,,2,1,,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,5,5,2,5,5,5,1,3,4,4,5,5,5,"1,2,5",2,4,2,6,1,3,4,3,1,1,1,11,250,1,5,24,43,447,563,87,117,124,225,90,112,0.24,0.43,4.47,5.63,0.87,1.17,1.24,2.25,0.9,1.12,62029a55ef1cb18a1337c61a,RestOfUS,1,,,0,0,1
R_7DonIxujnTL0s7c,41.3186,-72.9302,1,,1,7,0,0,7.997,0,,,,,,,,,,,,,,,,,,,,0,0,16.233,0,1,,2,1,,2,1,,2,1,,2,1,,2,2,4,2,1,1,4,2,1,2,3,2,5,2,"4,5,7",5,4,4,5,3,5,5,4,1,1,1,12,300,1,5,29,38,401,642,73,126,153,217,77,120,0.29,0.38,4.01,6.42,0.73,1.26,1.53,2.17,0.77,1.2,5dea8a91882683000a962b47,RestOfUS,1,,,0,1,1
R_17J7rl1GwGmR4RM,38.3648,-90.3577,1,,1,26,0,0,37.729,0,,,,,,,,,,,,,,,,,,,,1.127,1.127,41.127,1,2,2,,2,1,,2,2,,2,2,,2,2,,4,5,2,4,5,5,1,1,4,5,4,5,3,"3,5,6",2,2,3,3,2,2,2,4,1,1,1,11,250,1,3,28,40,416,637,77,119,152,227,89,123,0.28,0.4,4.16,6.37,0.77,1.19,1.52,2.27,0.89,1.23,628f83dc5398c04bac86f9e6,SixStateSample,1,,,1,1,1
R_3WuLnb3TQ3ulJMc,35.6173,-87.0317,1,,1,44,0,0,4.182,0,0,0,12.911,0,2,2,,2,2,,2,2,,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,5,5,2,5,5,5,2,7,4,4,4,5,4,"1,3,5",1,1,1,2,1,1,2,3,2,1,1,6,100,1,6,27,38,365,633,80,120,142,228,72,122,0.27,0.38,3.65,6.33,0.8,1.2,1.42,2.28,0.72,1.22,5fc6e3a0040c3f0e7cb45c8a,SixStateSample,1,,,1,0,1
R_3AYcQA82tLHXMCw,44.009,-92.3934,1,,1,24,0,0,5.317,0,0,0,14.213,0,2,1,,2,1,,2,1,,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,4,4,2,4,4,5,2,7,4,4,4,5,4,"1,2,5",3,2,2,6,1,3,4,5,2,1,1,10,200,1,4,26,42,375,551,83,123,136,199,75,114,0.26,0.42,3.75,5.51,0.83,1.23,1.36,1.99,0.75,1.14,643480e93c33701dfe923abd,RestOfUS,1,,,0,0,1
R_7AXxXd24ZF5m0s6,42.5138,-82.9396,1,,1,23,0,0,8.927,0,0,0,12.612,0,1,,2,1,,2,1,,2,2,1,,1,,2,,,,,,,,,,,,,,,,,,,,5,5,2,5,5,5,1,7,5,4,4,5,4,"1,4,5",3,4,3,6,1,3,3,4,1,1,1,3,50,1,1,23,37,422,650,85,124,127,216,74,118,0.23,0.37,4.22,6.5,0.85,1.24,1.27,2.16,0.74,1.18,5afa19a4f856320001cf920f,RestOfUS,1,,,0,0,1
R_3rrs8JzFDTLS4na,38.6438,-90.5301,1,,1,26,0,0,8.02,0,0,0,12.178,0,2,1,,2,1,,2,1,,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,4,5,2,3,3,4,1,1,5,4,4,5,3,"3,4,5",4,3,3,6,2,2,2,3,1,1,1,12,150,1,4,24,42,392,585,77,115,133,197,87,125,0.24,0.42,3.92,5.85,0.77,1.15,1.33,1.97,0.87,1.25,65db6b27470cd3b65bb2c64f,SixStateSample,1,,,1,0,1
R_5JBmNh24aR59j1v,36.0631,-83.686,1,,1,44,0.824,0.824,3.087,1,,,,,,,,,,,,,,,,,,,,1.683,14.031,15.801,4,2,1,,2,1,,2,1,,2,1,,2,1,,4,4,2,3,3,4,1,2,4,4,4,5,4,"2,4,5",4,3,3,4,2,3,4,3,2,1,1,5,150,1,5,28,41,385,582,72,120,129,206,76,130,0.28,0.41,3.85,5.82,0.72,1.2,1.29,2.06,0.76,1.3,66bbe4bd5451b1c5aa322914,SixStateSample,1,,,1,1,1
R_7dMaNbGeIIXCtO1,31.308,-89.3064,1,,1,25,6.499,6.499,8.801,1,,,,,,,,,,,,,,,,,,,,11.65,34.21,37.247,7,2,1,,2,1,,2,1,,2,1,,2,1,,4,4,2,3,4,4,1,2,4,2,2,5,2,"4,5,7",4,3,2,4,1,4,5,4,2,1,1,4,100,1,5,26,36,428,564,83,121,152,205,74,127,0.26,0.36,4.28,5.64,0.83,1.21,1.52,2.05,0.74,1.27,6658cfeabc17230af657cb83,SixStateSample,1,,,1,1,1
R_1kiSDaxNoEcQmL3,37.5115,-77.5662,1,,1,48,0,0,7.223,0,0,0,16.094,0,2,1,,2,1,,2,1,,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,3,3,2,2,2,4,2,1,4,4,3,5,3,"1,4,7",5,4,2,5,1,5,5,4,1,1,1,11,300,1,5,26,41,408,603,81,122,136,227,78,119,0.26,0.41,4.08,6.03,0.81,1.22,1.36,2.27,0.78,1.19,670d7afbadf6cefd9a2f4e72,RestOfUS,1,,,0,0,1
R_1fNp61HxY3CJmRn,41.9017,-87.6563,1,,1,14,0,0,12.626,0,,,,,,,,,,,,,,,,,,,,0,0,40.764,0,2,2,,2,2,,2,2,,2,2,,2,2,,5,5,2,4,4,4,1,1,4,4,4,5,4,"1,3,4",1,1,1,2,1,1,2,4,1,1,1,12,100,1,1,23,41,432,573,84,127,141,210,73,118,0.23,0.41,4.32,5.73,0.84,1.27,1.41,2.1,0.73,1.18,669bd78975f22207e8e90ac0,RestOfUS,1,,,1,1,1
R_7vcrngdcNsPQjrd,45.5777,-122.6795,1,,1,38,0,0,13.674,0,,,,,,,,,,,,,,,,,,,,0,0,20.211,0,2,2,,2,2,,2,2,,2,2,,2,2,,5,5,2,4,4,5,1,7,4,4,4,5,2,"1,2,6",2,2,3,3,1,1,3,3,2,1,1,11,120,2,1,25,36,366,579,89,126,148,218,84,128,0.25,0.36,3.66,5.79,0.89,1.26,1.48,2.18,0.84,1.28,5f529547b9922d574a77db04,RestOfUS,1,,,0,1,1
R_5VpO90RrFLLMOXL,44.3335,-88.4388,1,,1,51,0,0,4.36,0,,,,,,,,,,,,,,,,,,,,0,0,23.654,0,2,2,,2,2,,2,2,,2,1,,2,2,,4,5,2,5,5,5,1,7,4,4,4,5,4,"4,5,7",2,3,3,3,1,1,1,3,2,1,1,8,200,1,1,24,38,358,634,73,116,132,212,84,115,0.24,0.38,3.58,6.34,0.73,1.16,1.32,2.12,0.84,1.15,65f1b56d620b27328a8836e8,RestOfUS,1,,,0,1,1
R_78TVnATP1hx7msf,28.8654,-82.0406,1,,1,10,0,0,8.001,0,0,0,15.815,0,2,2,,2,1,,2,1,,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,3,3,2,3,3,4,2,3,4,3,3,5,3,"4,5,7",3,4,4,4,1,4,5,6,2,1,1,10,200,1,2,24,43,400,561,86,128,151,211,76,127,0.24,0.43,4,5.61,0.86,1.28,1.51,2.11,0.76,1.27,5d6ac7e17658a1001a8c63b2,RestOfUS,1,,,0,0,1
R_7S7veUGqu5uf6T6,33.8775,-84.5017,1,,1,11,0,0,3.588,0,0,0,12.953,0,2,1,,2,1,,2,1,,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,5,5,2,3,3,4,1,2,5,4,4,5,3,"4,5,7",3,4,3,6,1,1,2,5,2,1,1,8,200,1,3,28,36,443,645,83,124,152,196,85,126,0.28,0.36,4.43,6.45,0.83,1.24,1.52,1.96,0.85,1.26,5bc9f8b677740000016a08b5,RestOfUS,1,,,0,0,1
R_3NCbiokauA7nylX,30.3809,-95.3781,1,,1,45,0,0,3.401,0,,,,,,,,,,,,,,,,,,,,0,0,17.921,0,2,1,,2,1,,2,1,,2,1,,2,1,,5,5,2,3,4,5,1,1,5,4,5,5,4,"1,4,5",2,3,3,6,1,2,2,3,2,1,1,8,100,1,3,26,38,407,558,86,123,123,214,73,115,0.26,0.38,4.07,5.58,0.86,1.23,1.23,2.14,0.73,1.15,67028e3c5308fc008653cf26,RestOfUS,1,,,0,1,1
R_65ydtlf6nxVKgHD,38.22,-85.6942,1,,1,18,3.959,5.995,6.881,3,3.981,18.583,53.032,2,2,1,,1,,1,2,1,,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,4,4,2,3,3,3,2,1,4,4,4,5,4,"2,4,5",5,4,1,5,1,5,5,4,1,15,1,11,200,1,1,25,41,437,627,78,122,151,214,90,116,0.25,0.41,4.37,6.27,0.78,1.22,1.51,2.14,0.9,1.16,60477705b440ae26c4aaf5bb,SixStateSample,1,,,1,0,1
R_1j9xCbeJfIx6Z9n,38.6826,-84.0658,1,TRUE,1,18,6.884,91.74,104.335,4,3.189,9.844,35.983,3,1,,2,1,,2,1,,2,1,,2,1,,2,,,,,,,,,,,,,,,,,,,,5,5,2,5,5,5,2,7,5,5,4,5,5,"1,3,5",2,4,2,3,1,1,1,6,2,1,1,6,100,3,5,30,40,373,594,88,125,135,198,82,127,0.3,0.4,3.73,5.94,0.88,1.25,1.35,1.98,0.82,1.27,5bbf523d83f9790001ce549a,SixStateSample,1,,,1,0,1
R_73C1QUAZbv267IE,40.9781,-76.6268,1,,1,39,0,0,11.673,0,,,,,,,,,,,,,,,,,,,,0,0,39.918,0,1,,2,1,,2,1,,2,1,,2,1,,1,4,4,2,4,4,4,1,7,5,4,3,5,3,"1,4,5",5,4,3,5,1,5,5,3,1,1,1,11,60,1,2,30,43,419,593,78,117,128,221,84,122,0.3,0.43,4.19,5.93,0.78,1.17,1.28,2.21,0.84,1.22,6647c6138ad0a72e618533d0,RestOfUS,1,,,0,1,1
R_3Bn9GSk5guswnm3,38.1405,-85.6936,1,,1,18,0,0,23.784,0,0,0,30.846,0,2,2,,2,1,,2,1,,2,1,,2,2,,,,,,,,,,,,,,,,,,,,,3,4,2,3,3,4,2,2,4,4,3,5,3,"4,5,7",3,4,4,5,1,4,5,6,2,1,1,3,80,1,1,28,36,350,634,75,115,148,220,70,110,0.28,0.36,3.5,6.34,0.75,1.15,1.48,2.2,0.7,1.1,66ae09b41fe460731834c749,SixStateSample,1,,,1,0,1
R_14D7WJ0FMRT9jIm,40.8547,-73.9218,1,,1,33,36.305,36.305,36.551,1,,,,,,,,,,,,,,,,,,,,0,0,37.775,0,2,1,,2,1,,2,1,,1,,2,2,1,,4,3,2,3,5,5,2,2,5,5,5,5,5,"4,5,6",3,4,3,6,1,2,2,3,1,15,5,12,120,1,2,27,43,368,641,72,118,141,193,87,130,0.27,0.43,3.68,6.41,0.72,1.18,1.41,1.93,0.87,1.3,63d84be2c9a21026d442e728,RestOfUS,1,,,0,1,1
R_7lWkbVUNfERRand,34.1496,-89.6446,1,,1,25,0,0,14.025,0,8.052,197.028,209.106,18,2,1,,2,2,,2,1,,2,2,,2,1,,,,,,,,,,,,,,,,,,,,,4,5,2,1,1,4,2,1,5,4,5,5,2,"3,4,5",4,4,3,4,1,4,4,4,1,1,1,4,120,1,2,23,43,411,567,84,121,133,200,85,130,0.23,0.43,4.11,5.67,0.84,1.21,1.33,2,0.85,1.3,5e84bd7c34d5d9072128fac1,SixStateSample,1,,,1,0,1
R_31JtlOtohibtFBL,28.0303,-82.7816,1,,1,10,6.512,6.512,18.226,1,1.447,12.641,14.206,3,2,1,,2,1,,1,,2,1,,2,2,1,,,,,,,,,,,,,,,,,,,,,4,4,2,1,1,4,2,2,5,4,4,5,4,"4,5,7",2,3,3,3,1,3,4,5,2,1,1,11,300,1,2,28,41,373,638,88,110,143,215,81,120,0.28,0.41,3.73,6.38,0.88,1.1,1.43,2.15,0.81,1.2,6506fd43685505dfa579d9a7,RestOfUS,1,,,0,0,1
R_68O2MLury9BCHjv,35.0812,-92.4722,1,,1,4,0,0,10.057,0,12.565,12.565,13.854,1,2,1,,2,2,,2,2,,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,4,5,2,3,4,4,1,3,4,4,4,5,5,"2,4,5",1,2,1,2,1,1,1,4,1,1,1,8,90,1,2,26,43,397,594,80,112,146,227,72,111,0.26,0.43,3.97,5.94,0.8,1.12,1.46,2.27,0.72,1.11,60fcd9699c3def3068403b90,SixStateSample,1,,,1,0,1
R_5fjUCerjiqRnoaM,37.751,-97.822,1,TRUE,1,44,7.053,15.096,18.203,2,4.984,17.194,42.748,3,2,1,,2,1,,2,2,,2,1,,2,2,,,,,,,,,,,,,,,,,,,,,4,4,2,4,4,4,2,7,5,4,4,5,4,"2,4,5",2,2,3,3,1,1,1,7,2,2,1,3,180,3,4,27,41,424,642,79,119,125,220,71,110,0.27,0.41,4.24,6.42,0.79,1.19,1.25,2.2,0.71,1.1,670f1134cad05731f46339a6,SixStateSample,1,,,1,0,1
R_7uJxoR1Npxq5Hwr,38.653,-92.7801,1,,1,26,0,0,11.722,0,0,0,11.776,0,2,2,,2,1,,2,1,,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,4,5,2,3,3,4,1,7,1,1,1,5,3,"4,5,7",5,4,3,5,1,3,5,5,1,1,1,6,60,1,2,26,41,415,641,89,120,136,193,85,116,0.26,0.41,4.15,6.41,0.89,1.2,1.36,1.93,0.85,1.16,612bb0cdecc9e45781bbf511,SixStateSample,1,,,1,0,1
R_115X4doEolcrxe3,36.1868,-86.5067,1,TRUE,1,44,0,0,5.07,0,,,,,,,,,,,,,,,,,,,,0,0,16.247,0,2,2,,2,2,,2,2,,2,2,,2,2,,4,5,2,4,4,5,1,7,4,4,4,5,3,"4,5,6",4,3,4,4,1,2,2,4,1,1,1,12,400,1,1,24,37,363,615,81,127,136,196,88,128,0.24,0.37,3.63,6.15,0.81,1.27,1.36,1.96,0.88,1.28,5ba8e80089390100019064ed,SixStateSample,1,,,1,1,1
R_3Z9FvXl6U894KXv,36.1549,-116.0177,1,,1,18,0,0,47.797,0,,,,,,,,,,,,,,,,,,,,0,0,70.701,0,2,1,,1,,2,1,,2,1,,2,1,,2,4,4,2,4,5,5,2,7,4,4,2,5,2,"4,5,7",5,4,3,5,4,5,5,3,1,1,1,6,200,1,7,28,40,442,572,88,112,134,208,74,122,0.28,0.4,4.42,5.72,0.88,1.12,1.34,2.08,0.74,1.22,5bdfb648484288000130dad0,SixStateSample,1,,,1,1,1
R_6HzZF8iQ2at4mu5,32.9657,-96.8834,0.899999976,,1,45,0,0,15.786,0,,,,,,,,,,,,,,,,,,,,0,0,74.982,0,2,1,,2,2,,2,1,,2,1,,2,1,,4,5,2,4,4,5,2,4,5,4,4,5,4,"2,4,5",3,3,4,6,1,2,3,6,2,1,1,5,1500,1,7,25,36,425,593,73,112,125,216,73,114,0.25,0.36,4.25,5.93,0.73,1.12,1.25,2.16,0.73,1.14,66f61f4cdab62fb395b9d4ee,RestOfUS,1,,,0,1,1
R_7JJSXtdKA3EMnPf,42.1418,-71.3967,1,,1,22,0,0,3.342,0,,,,,,,,,,,,,,,,,,,,0,0,26.953,0,2,1,,2,1,,2,1,,2,1,,2,1,,4,3,2,4,4,4,1,1,3,3,3,5,3,"2,4,5",2,2,2,3,1,1,1,3,2,1,1,11,150,1,2,26,42,352,623,86,115,136,210,88,123,0.26,0.42,3.52,6.23,0.86,1.15,1.36,2.1,0.88,1.23,5aa83a71f6dfdd0001eb1690,RestOfUS,1,,,0,1,1
R_72LH40NEAPUGBep,41.9703,-87.664,1,,1,14,0,0,7.563,0,0,0,19.641,0,1,,1,1,,1,1,,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,5,5,2,5,5,5,1,2,5,5,5,5,5,"1,2,3",1,1,1,6,1,1,1,4,1,1,1,11,1000,3,7,29,41,424,640,83,129,130,201,81,119,0.29,0.41,4.24,6.4,0.83,1.29,1.3,2.01,0.81,1.19,6705565ffd67124adcd513ec,RestOfUS,1,,,1,0,1
R_6rOBIv3dN4Qf3PV,38.5682,-89.8965,1,,1,14,0,0,15.701,0,,,,,,,,,,,,,,,,,,,,0,0,38.304,0,2,1,,2,2,,2,1,,2,1,,2,1,,4,5,2,3,2,4,1,2,4,4,4,5,4,"4,5,7",4,3,3,6,1,1,2,5,2,1,1,10,130,1,6,30,37,437,617,76,120,127,228,84,118,0.3,0.37,4.37,6.17,0.76,1.2,1.27,2.28,0.84,1.18,5d88db42c1d06e001a1fdcab,RestOfUS,1,,,1,1,1
R_1DM38F3vo8dJCVD,42.0753,-80.0671,1,,1,39,0,0,11.507,0,,,,,,,,,,,,,,,,,,,,0,0,25.376,0,2,1,,2,1,,2,1,,2,1,,2,1,,4,4,2,3,3,4,1,1,4,4,4,5,3,"4,5,7",3,4,3,6,1,4,4,7,1,1,1,4,100,1,4,28,41,376,642,73,129,157,193,73,115,0.28,0.41,3.76,6.42,0.73,1.29,1.57,1.93,0.73,1.15,614f6bad672ef7cf5ecfd965,RestOfUS,1,,,0,1,1
R_3uOmqCUQ4tMyuqn,41.874,-71.3844,1,,1,41,4.07,38.082,38.3,2,3.455,3.455,36.947,1,2,2,,2,2,,2,1,,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,5,5,2,4,4,5,1,3,4,5,5,5,5,"1,2,5",1,1,1,3,2,2,2,3,1,1,1,10,500,1,6,25,40,384,609,84,129,126,200,85,130,0.25,0.4,3.84,6.09,0.84,1.29,1.26,2,0.85,1.3,631c8e97db06f601f81bd82f,RestOfUS,1,,,0,0,1
