duration,ResponseId,state,Q39_First Click,Q39_Last Click,Q39_Page Submit,Q39_Click Count,delta_timer_First Click,delta_timer_Last Click,delta_timer_Page Submit,delta_timer_Click Count,black_timer_First Click,black_timer_Last Click,black_timer_Page Submit,black_timer_Click Count,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q58,Q59,Q24 w attn check_1,Q24 w attn check_2,Q24 w attn check_3,Q24 w attn check_4,Q24 w attn check_5,Q102_1,Q102_2,Q102_3,Q102_4,Q102_5,Q102_6,Q102_7,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q16,Q17,Q18,Q21,Q93,corn_l,corn_h,melon_l,melon_h,maters_l,maters_h,rice_l,rice_h,taters_l,taters_h,corn_low,corn_high,melon_low,melon_high,maters_low,maters_high,rice_low,rice_high,taters_low,taters_high,full_launch,gc,term,target_state,black,attention
305,R_13am9YQJLbeTcQx,Tennessee,0,0,8.159,0,,,,,7.527,13.301,31.522,2,Neither Agree or Disagree,Neither Agree or Disagree,Disagree,Disagree,Disagree,Neither Agree or Disagree,Within your race but outside of your local community,0-5%,Agree,Neither Agree or Disagree,Disagree,Strongly Agree,Neither Agree or Disagree,,,,Price,Healthiness,,Widely available/ convenient,Not responsible at all,Does not influence,Somewhat familiar,Not important at all,"Yes, I understand the difference",Not important at all,Not important at all,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",200,Supermarket,Moderately Conservative,23,43,441,558,77,113,146,220,81,124,0.23,0.43,4.41,5.58,0.77,1.13,1.46,2.2,0.81,1.24,,,,,1,1
653,R_5QWR2rzTjsPpi0e,Louisiana,3.041,8.474,9.561,2,4.874,23.274,23.914,4,,,,,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,People outside of your race in your local community,6-10%,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,,,,Price,Healthiness,,Widely available/ convenient,Neutral,Does not influence,Slightly familiar,Neutral,"No, I believe they are the same",Neutral,Neutral,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",200,Supermarket,Moderately Conservative,27,41,352,554,87,112,131,203,75,123,0.27,0.41,3.52,5.54,0.87,1.12,1.31,2.03,0.75,1.23,,,,,0,1
599,R_59AYuynaOTJJT2N,Delaware,0,0,18.067,0,,,,,98.84,107.882,108.517,3,Neither Agree or Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,People outside of your race in your local community,11-20%,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,Strongly Agree,Agree,Locally grown,,,Price,Healthiness,,,Neutral,Greatly influences,Very familar,Very important,"Yes, I understand the difference",Very important,Neutral,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",340,Supermarket,Neutral,26,41,433,605,90,120,133,225,87,119,0.26,0.41,4.33,6.05,0.9,1.2,1.33,2.25,0.87,1.19,,,,,1,1
544,R_1GPlLEvob3ahWBU,Louisiana,10.894,10.894,22.653,1,,,,,7.477,94.701,95.815,7,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,People outside of your race in your local community,21-30%,Agree,Agree,Agree,Strongly Agree,Agree,,,Supports the local economy,Price,Healthiness,,,Neutral,Slightly influences,Slightly familiar,Neutral,"Yes, I understand the difference",Somewhat important,Somewhat important,35 - 44,Female,,Black or African American,,,,,,,,,,,,,,"Yes, another Hispanic, Latino, or Spanish Origin","$90,000 - $99,999",300,Supermarket,Slightly Conservative,29,37,353,634,73,127,125,224,82,123,0.29,0.37,3.53,6.34,0.73,1.27,1.25,2.24,0.82,1.23,,,,,1,1
952,R_5QoRxqMuPcmnsIi,Kentucky,0,0,3.307,0,7.477,7.477,11.576,1,,,,,Agree,Neither Agree or Disagree,Disagree,Agree,Neither Agree or Disagree,Agree,Within your race but outside of your local community,0-5%,Neither Agree or Disagree,Neither Agree or Disagree,Agree,Strongly Agree,Agree,Locally grown,,Supports the local economy,Price,,,,Neutral,Somewhat influences,Not familiar at all,Neutral,"Yes, I understand the difference",Somewhat important,Neutral,75 - 84,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",200,Supermarket,Extremely Conservative,23,36,394,648,85,122,127,201,88,117,0.23,0.36,3.94,6.48,0.85,1.22,1.27,2.01,0.88,1.17,,,,,0,1
424,R_7c6o20uXIPdS29r,Tennessee,0,0,14.901,0,0,0,24.523,0,,,,,Agree,Agree,Disagree,Agree,Neither Agree or Disagree,Agree,People outside of your race in your local community,6-10%,Agree,Agree,Agree,Strongly Agree,Neither Agree or Disagree,,,,Price,Healthiness,,Widely available/ convenient,Neutral,Slightly influences,Not familiar at all,Neutral,"Yes, but I'm unsure of the difference",Somewhat important,Neutral,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",140,Supermarket,Slightly Liberal,26,40,419,647,86,119,146,197,87,119,0.26,0.4,4.19,6.47,0.86,1.19,1.46,1.97,0.87,1.19,,,,,0,1
993,R_5wTWDujMMNrWnUJ,Tennessee,9.678,9.678,16.784,1,8.463,27.365,44.701,2,,,,,Agree,Neither Agree or Disagree,Disagree,Agree,Agree,Agree,Within your race but outside of your local community,0-5%,Strongly Agree,Neither Agree or Disagree,Agree,Strongly Agree,Agree,,Organically grown,,Price,Healthiness,,,Somewhat responsible,Somewhat influences,Somewhat familiar,Somewhat important,"Yes, I understand the difference",Very important,Very important,65 - 74,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",110,Farmers Market,Neutral,26,41,368,589,78,115,135,225,88,123,0.26,0.41,3.68,5.89,0.78,1.15,1.35,2.25,0.88,1.23,,,,,0,1
869,R_5DRRmUEWoAbTUcJ,Louisiana,0,0,28.162,0,35.207,67.399,70.401,4,,,,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Within your race but outside of your local community,6-10%,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,Supports the local economy,,,Sold by a socially responsible compmany,Widely available/ convenient,Very responsible,Does not influence,Very familar,Very important,"No, I believe they are the same",Somewhat important,Somewhat important,45 - 54,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",55,Farmers Market,Moderately Liberal,30,38,427,627,81,114,155,196,72,119,0.3,0.38,4.27,6.27,0.81,1.14,1.55,1.96,0.72,1.19,,,,,0,1
593,R_5I4CzCoVFjrjyaB,Tennessee,0,0,18.822,0,2.176,2.176,22.178,1,,,,,Strongly Agree,Strongly Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,People outside of your race in your local community,0-5%,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,Supports the local economy,Price,,,Widely available/ convenient,Somewhat responsible,Slightly influences,Very familar,Somewhat important,"Yes, I understand the difference",Very important,Very important,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",200,Supermarket,Moderately Liberal,27,36,427,579,87,130,133,224,81,127,0.27,0.36,4.27,5.79,0.87,1.3,1.33,2.24,0.81,1.27,,,,,0,1
823,R_1AHcRjjL9E4QcBW,Alabama,24.249,26.351,44.397,2,,,,,0,0,166.336,0,Neither Agree or Disagree,Neither Agree or Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,People outside of your race in your local community,6-10%,Agree,Agree,Neither Agree or Disagree,Strongly Agree,Agree,,Organically grown,,Price,Healthiness,,,Not very responsible,Slightly influences,Slightly familiar,Neutral,"Yes, I understand the difference",Neutral,Not important at all,65 - 74,Male,White,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",250,Supermarket,Extremely Conservative,25,43,403,585,75,112,131,200,80,127,0.25,0.43,4.03,5.85,0.75,1.12,1.31,2,0.8,1.27,,,,,1,1
362,R_1YRAbrRFiKq03rr,Missouri,0,0,16.696,0,,,,,0,0,50.878,0,Agree,Neither Agree or Disagree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Within your race but outside of your local community,11-20%,Agree,Agree,Agree,Strongly Agree,Neither Agree or Disagree,,,,Price,Healthiness,,Widely available/ convenient,Somewhat responsible,Slightly influences,Slightly familiar,Somewhat important,"Yes, but I'm unsure of the difference",Very important,Very important,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",100,Supermarket,Slightly Liberal,27,36,362,628,71,122,153,216,72,112,0.27,0.36,3.62,6.28,0.71,1.22,1.53,2.16,0.72,1.12,,,,,1,1
1102,R_7FKizeTdAusFaV5,Tennessee,3.269,3.269,52.601,1,,,,,28.303,54.764,121.058,2,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,People outside of your race in your local community,31-40%,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,,,Supports the local economy,Price,Healthiness,,,Very responsible,Greatly influences,Very familar,Very important,"Yes, I understand the difference",Very important,Very important,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",20000,Farmers Market,Extremely Conservative,25,40,409,560,82,115,140,203,85,129,0.25,0.4,4.09,5.6,0.82,1.15,1.4,2.03,0.85,1.29,,,,,1,1
691,R_1Cg4QuqMF18o6Q1,Louisiana,16.693,16.693,18.794,1,,,,,8.099,14.346,18.58,3,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Within your race but outside of your local community,0-5%,Agree,Agree,Agree,Strongly Agree,Agree,,,,Price,Healthiness,,Widely available/ convenient,Somewhat responsible,Somewhat influences,Somewhat familiar,Somewhat important,"Yes, I understand the difference",Very important,Somewhat important,35 - 44,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",150,Supermarket,Slightly Conservative,26,36,367,628,85,122,130,220,80,130,0.26,0.36,3.67,6.28,0.85,1.22,1.3,2.2,0.8,1.3,,,,,1,1
413,R_1TTTOuhhO0phzFJ,Arkansas,0,0,31.904,0,,,,,0,0,97.278,0,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,People outside of your race in your local community,0-5%,Strongly Agree,Agree,Agree,Strongly Agree,Neither Agree or Disagree,Locally grown,,,Price,Healthiness,,,Somewhat responsible,Does not influence,Slightly familiar,Somewhat important,"Yes, I understand the difference",Very important,Very important,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",150,Supermarket,Extremely Liberal,30,36,396,609,81,128,149,194,89,119,0.3,0.36,3.96,6.09,0.81,1.28,1.49,1.94,0.89,1.19,,,,,1,1
370,R_6KZzNPMfp4BKKA1,Tennessee,0,0,14.165,0,,,,,0,0,59.383,0,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,Within your race but outside of your local community,6-10%,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Locally grown,,Supports the local economy,,Healthiness,,,Not responsible at all,Does not influence,Somewhat familiar,Not important at all,"No, I believe they are the same",Somewhat important,Somewhat important,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",400,Supermarket,Moderately Liberal,25,42,405,574,81,125,151,216,72,124,0.25,0.42,4.05,5.74,0.81,1.25,1.51,2.16,0.72,1.24,,,,,1,1
1184,R_6Y74cv9DAen6zct,Alabama,3.231,3.231,18.16,1,,,,,1.579,57.647,58.759,4,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Within your race but outside of your local community,6-10%,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Locally grown,Organically grown,,Price,,,,Somewhat responsible,Somewhat influences,Somewhat familiar,Somewhat important,"Yes, but I'm unsure of the difference",Somewhat important,Neutral,35 - 44,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",150,Supermarket,Moderately Conservative,24,40,384,560,76,110,131,208,81,118,0.24,0.4,3.84,5.6,0.76,1.1,1.31,2.08,0.81,1.18,,,,,1,1
609,R_6CsFw9TY3esODfE,Alabama,0,0,34.242,0,53.344,58.889,59.915,4,,,,,Agree,Agree,Disagree,Agree,Agree,Agree,People outside of your race in your local community,21-30%,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,Organically grown,Supports the local economy,,Healthiness,,,Somewhat responsible,Somewhat influences,Somewhat familiar,Somewhat important,"Yes, but I'm unsure of the difference",Very important,Somewhat important,45 - 54,Non-binary / transgender,,,,,,Chinese,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",300,Health/Natural Food Store,Extremely Liberal,24,41,415,560,76,128,134,196,82,112,0.24,0.41,4.15,5.6,0.76,1.28,1.34,1.96,0.82,1.12,,,,,0,1
789,R_7iOLn5iZobUm2Mn,Minnesota,0,0,4.852,0,,,,,8.859,22.7,35.425,6,Agree,Disagree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Within your race but outside of your local community,0-5%,Agree,Agree,Agree,Strongly Agree,Agree,,,,Price,Healthiness,,Widely available/ convenient,Neutral,Somewhat influences,Somewhat familiar,Neutral,"Yes, I understand the difference",Somewhat important,Neutral,35 - 44,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",500,Health/Natural Food Store,Extremely Conservative,29,36,436,580,72,110,147,197,72,125,0.29,0.36,4.36,5.8,0.72,1.1,1.47,1.97,0.72,1.25,,,,,1,1
466,R_6JXGsVEGIv81kcO,Tennessee,0,0,27.335,0,55.114,55.114,55.621,1,,,,,Neither Agree or Disagree,Neither Agree or Disagree,Disagree,Disagree,Disagree,Disagree,People outside of your race in your local community,31-40%,Strongly Agree,Agree,Neither Agree or Disagree,Strongly Agree,Strongly Agree,,,,Price,Healthiness,,Widely available/ convenient,Neutral,Somewhat influences,Slightly familiar,Somewhat important,"Yes, but I'm unsure of the difference",Somewhat important,Neutral,25 - 34,Female,,,,,,,,,,,,,,,some other race,"Yes, Puerto Rican","$80,000 - $89,999",125,Supermarket,Extremely Liberal,29,42,368,571,70,117,133,217,90,120,0.29,0.42,3.68,5.71,0.7,1.17,1.33,2.17,0.9,1.2,,,,,0,1
1806,R_7JRgRXIPwzyUtuJ,Mississippi,0,0,6.019,0,,,,,0,0,16.526,0,Strongly Agree,Disagree,Disagree,Neither Agree or Disagree,Disagree,Strongly Agree,Within your race but outside of your local community,11-20%,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,,Organically grown,,,Healthiness,Sold by a socially responsible compmany,,Somewhat responsible,Somewhat influences,Slightly familiar,Somewhat important,"No, I believe they are the same",Somewhat important,Not very important,25 - 34,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",122,Supermarket,Extremely Liberal,26,41,423,631,70,126,123,194,85,118,0.26,0.41,4.23,6.31,0.7,1.26,1.23,1.94,0.85,1.18,,,,,1,1
315,R_6EcAxC0QSyZpO5L,Louisiana,0,0,11.294,0,0,0,21.239,0,,,,,Strongly Agree,Strongly Agree,Disagree,Agree,Neither Agree or Disagree,Strongly Agree,Within your race but outside of your local community,6-10%,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Locally grown,,,Price,Healthiness,,,Neutral,Does not influence,Somewhat familiar,Neutral,"Yes, I understand the difference",Not very important,Not very important,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",125,Supermarket,Extremely Conservative,26,42,447,644,88,121,149,194,88,123,0.26,0.42,4.47,6.44,0.88,1.21,1.49,1.94,0.88,1.23,,,,,0,1
604,R_35e7NnrQhEe0sZX,Arkansas,0,0,30.312,0,30.279,30.279,34.027,1,,,,,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,People outside of your race in your local community,11-20%,Agree,Agree,Agree,Strongly Agree,Neither Agree or Disagree,,,,Price,Healthiness,,Widely available/ convenient,Not very responsible,Slightly influences,Not familiar at all,Not very important,"Yes, I understand the difference",Not very important,Not important at all,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",50,Supermarket,Moderately Conservative,29,39,364,582,89,129,158,220,82,113,0.29,0.39,3.64,5.82,0.89,1.29,1.58,2.2,0.82,1.13,,,,,0,1
510,R_3Z8Ul0nB8ZyXwEV,Kentucky,0,0,15.334,0,0,0,38.177,0,,,,,Agree,Strongly Agree,Disagree,Agree,Neither Agree or Disagree,Agree,People outside of your race in your local community,31-40%,Agree,Agree,Agree,Strongly Agree,Neither Agree or Disagree,,,Supports the local economy,Price,Healthiness,,,Neutral,Does not influence,Not familiar at all,Neutral,"Yes, I understand the difference",Neutral,Not very important,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",250,Farmers Market,Neutral,30,41,447,573,89,110,144,214,78,112,0.3,0.41,4.47,5.73,0.89,1.1,1.44,2.14,0.78,1.12,,,,,0,1
233,R_51yQvWTy9B8JFUT,Tennessee,0,0,13.974,0,,,,,0,0,17.629,0,Strongly Agree,Strongly Agree,Disagree,Neither Agree or Disagree,Agree,Strongly Agree,People outside of your race in your local community,0-5%,Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,,,,Price,Healthiness,Sold by a socially responsible compmany,,Somewhat responsible,Slightly influences,Slightly familiar,Somewhat important,"Yes, I understand the difference",Very important,Somewhat important,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",320,Supermarket,Extremely Liberal,26,38,408,550,90,130,131,199,70,127,0.26,0.38,4.08,5.5,0.9,1.3,1.31,1.99,0.7,1.27,,,,,1,1
2184,R_6qxtj2imsGX9cFL,Missouri,13.921,14.447,23.97,2,30.561,279.462,284.027,5,,,,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Within your race but outside of your local community,11-20%,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Locally grown,Organically grown,Supports the local economy,,,,,Very responsible,Greatly influences,Very familar,Very important,"Yes, I understand the difference",Very important,Very important,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",50,Farmers Market,Extremely Conservative,23,42,401,557,75,119,144,225,87,129,0.23,0.42,4.01,5.57,0.75,1.19,1.44,2.25,0.87,1.29,,,,,0,1
