duration,ResponseId,Q2,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q33_17,Q33_18,Q33_19,Q33_20,Q33_21,Q33_22,Q33_23,Q33_24,Q33_25,Q33_26,Q33_27,Q33_28,Q33_29,Q33_30,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_7_TEXT,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_6_TEXT,Q20_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q25,Q26,Q27_1,Q28,Q29_5,Q29_6,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q30_14,Q31
268,R_3EDRA8eBynaNQSr,Tennessee,,,Dickson,Corn,Soybean ,All different ,Neutral,Neutral,Neutral,Pecans,Blackberries,,,,,Persimmons,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",Wild Nuts,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None ,Neutral,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,10,Neutral,Neutral,Neutral,Neutral,Strongly Distrust,Strongly Distrust,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",2,Protestant,101,34,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,Farmers market,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)",Farmers market
675,R_3O0myuRY3qEtlKr,Arkansas,,,,"Corn, wheat, and most all good green garden vegetables if grown. Tomatoes...Potatoes...a little bit of it all",I'm not sure but watermelons seem to be big there,All different foods and then they could adapt to different environments and become different strains of the same veggie or whatever...I believe it would strengthen the food chain there and be more reliable and productive,Neutral,Neutral,Neutral,Pecans,,,,,,,,,,,,Wild Herbs,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),Right here right now,Neutral,,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,Other (Please Specify),Generally staying away from places with ticks,3,Neutral,Distrust,Trust,Distrust,Distrust,Neutral,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",3,None of the above or other,75,8,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)"
207,R_3Gyd7B490z9mXzj,Tennessee,,,Campbell,Italian,Corn,All foods,Strongly Agree,Strongly Agree,Strongly Agree,Pecans,Blackberries,,,,,,,,,,,Wild Herbs,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,"Educational Institutions (Schools, Colleges, etc.)",,Community Programs or Workshops,Friends or Family,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,4,Neutral,Trust,Trust,Strongly Trust,Trust,Neutral,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$80,000 - $89,999",3,Protestant,115,85,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)"
691,R_3M9BslLcxciCTD8,Missouri,,,,Wheat/Rice,"Cotton, soybeans, sorghum",All fruits and more Broccoli ,Agree,Agree,Neutral,,Blackberries,,,,,Persimmons,Mushrooms,Sassafras,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,Cattails,,,"Yes, I had heard of Alpha-gal syndrome.",,,,,,,Other (Please Specify),I read a lot. They were in a published book,Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,10,Trust,Strongly Trust,Strongly Trust,Strongly Trust,Neutral,Neutral,25 - 34,Female,White,,American Indian or Alaska Native,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",2,None of the above or other,119,72,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,Farmers market,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
577,R_40hmiN6FX8hQ0bD,Louisiana,Jefferson,,,soy and sugar cane.  Does sea food count?,sugar cane,All of them,Strongly Agree,Agree,Agree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),just this survey,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,9,Strongly Distrust,Neutral,Trust,Neutral,Strongly Distrust,Distrust,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",2,Jewish,149,0,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Meal/Meal Kit Delivery Service (e.g. Blue Apron, Schwan's, etc.)"
459,R_e4ALAr0JpghlJ2F,Missouri,,,,"Beef, pork, turkey, chicken, goat, corn, soybeans ","Beef, soybeans",All that are suitable for the climate and terrain ,Neutral,Neutral,Neutral,,Blackberries,,,,,Persimmons,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",Wild Nuts,,Wild Herbs,,"Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)",News/Media,"Educational Institutions (Schools, Colleges, etc.)",,,Friends or Family,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,10,Trust,Neutral,Trust,Trust,Neutral,Distrust,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",2,None of the above or other,25,0,,,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi)
491,R_1gjvyG6Jcb5S7Fa,Arkansas,,,,Chicken ,Alligator ,Alligator ,Strongly Agree,Strongly Agree,Strongly Agree,,,,Muscadine Grapes,,,,Mushrooms,,,Wild Nuts,,Wild Herbs,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,,Avoiding areas known for a high presence of Lone Star ticks,,,,1,Strongly Trust,Strongly Trust,Strongly Trust,Strongly Trust,Strongly Trust,Strongly Trust,35 - 44,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",1,Protestant,95,43,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)"
323,R_3FIFaQIcIzgkdqz,Louisiana,Iberia,,,Sugarcane ,Alligator ,Alligator ,Neutral,Neutral,Neutral,Pecans,Blackberries,,,,,,,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),Never heard of it ,Neutral,,,,,Seeking medical advice or consultation about prevention,,,5,Neutral,Trust,Trust,Neutral,Strongly Distrust,Distrust,35 - 44,Female,White,,American Indian or Alaska Native,,,,,,,,,,,,,"Yes, Mexican, Mexican American, Chicano","$10,000 - $19,999",3,Catholic,165,70,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,Farmers market,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)"
248,R_2zhxQX37Fou5nZx,Tennessee,,,Carter,Boston creme cake ,Nothing comes to mind,Alligators,Agree,Agree,Neutral,,Blackberries,,,,,Persimmons,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,News/Media,,,,,,,Somewhat Concerned,Using insect repellent when outdoors,,,Avoiding areas known for a high presence of Lone Star ticks,,,,10,Distrust,Neutral,Neutral,Neutral,Distrust,Distrust,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$80,000 - $89,999",2,Not religious,104,41,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)"
345,R_3D5QJbA99HvGwlK,Arkansas,,,,I THINK FRUIT AND VEGGIES IS Most associated with the state ,I believe that protein dairy fruit and veggies are ,An item from each food group ,Neutral,Neutral,Neutral,,,,,,Mayhaw,,Mushrooms,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Neutral,,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,Seeking medical advice or consultation about prevention,,,8,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",2,Not religious,170,139,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)"
207,R_2tsb08TSqRytPvQ,Tennessee,,,De Kalb,"Beef
Corn
Soy",No idea,Any,Agree,Agree,Agree,,Blackberries,,,,,,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.","Medical professionals (Doctor, Nurse, etc.)",,,,,,,,Very Concerned,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,6,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,25 - 34,Female,White,,,,,,,,,,,,,,,"Yes, Mexican, Mexican American, Chicano","$40,000 - $49,999",3,None of the above or other,161,67,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
701,R_1g2bqMjVuG01FYp,Mississippi,,Oktibbeha,,Chicken,Cajun food ,Any food ,Disagree,Disagree,Disagree,,,,,,,,Mushrooms,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,"Educational Institutions (Schools, Colleges, etc.)",,,Friends or Family,,,Neutral,,Wearing long sleeves and pants when in wooded or grassy areas,,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,7,Trust,Trust,Trust,Trust,Trust,Neutral,25 - 34,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",1,Protestant,176,69,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)",Discount store (e.g. Dollar Store; Aldi)
677,R_3s0vipc8EhJFPY8,Mississippi,,Jackson,,watermelon,watermelon,any food production is good ,Agree,Agree,Agree,Pecans,,,,,,Persimmons,,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),haven't heard anything about this,Not Concerned at all,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,3,Trust,Trust,Trust,Trust,Distrust,Neutral,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",2,Not religious,144,18,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
394,R_vqceisBBcdxKozD,Missouri,,,,Corn,"Rice, fruit trees, pecans ",Any foods that we as a country could avoid importing ,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)",News/Media,,,Community Programs or Workshops,Friends or Family,,,Somewhat Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,7,Trust,Trust,Trust,Trust,Neutral,Neutral,35 - 44,Female,White,,,,,,,,,,,,,,,"Yes, Mexican, Mexican American, Chicano","$80,000 - $89,999",4,Catholic,105,55,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi)
809,R_9uXy6yPunRIPFYd,Missouri,,,,"Soybean, corn",Melons ,Any kind,Strongly Agree,Strongly Agree,Strongly Agree,Pecans,Blackberries,,,,,,,,,Wild Nuts,,,,"Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)",News/Media,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,9,Neutral,Neutral,Neutral,Trust,Neutral,Neutral,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,None of the above or other,112,32,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)"
315,R_2ZQ90gBoLPibG44,Louisiana,Ouachita,,,Peaches?,"Mexican, fast food",Any type of berry ,Neutral,Neutral,Agree,,Blackberries,,,,,,,,,,,,,"No, I have never heard of this before.",,,,Social Media,,,,,Not Concerned at all,Using insect repellent when outdoors,,,,,,,7,Distrust,Neutral,Trust,Trust,Distrust,Trust,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",5,None of the above or other,200,0,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,"Meal/Meal Kit Delivery Service (e.g. Blue Apron, Schwan's, etc.)",,"Supercenter and wholesale (e.g. Walmart, Costco)"
245,R_3j7lIRLxJfcIIil,Missouri,,,,Soybeans,Corn,Any vegetables,Agree,Neutral,Agree,Pecans,,,,,,,,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,,,,,Friends or Family,,,Neutral,,,Checking for ticks after spending time outdoors,,,,,5,Neutral,Trust,Neutral,Neutral,Distrust,Trust,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",,Protestant,25,42,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi)
839,R_u4VvxICY4ISHbMJ,Tennessee,,,De Kalb,"Corn, soy beans",Rice,Anything,Neutral,Disagree,Disagree,Pecans,,,,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Not Very Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,9,Neutral,Trust,Trust,Neutral,Distrust,Distrust,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",3,None of the above or other,100,32,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
215,R_3L1GjJYLlK9T8nx,Tennessee,,,Knox,Only thing we're famous is Moon pies,Corn maybe and beans,Anything I have no preference ,Agree,Agree,Agree,Pecans,Blackberries,,,,,,,,,Wild Nuts,,,,"No, I have never heard of this before.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Neutral,,,,,Seeking medical advice or consultation about prevention,,,5,Trust,Strongly Trust,Trust,Trust,Trust,Trust,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",6,None of the above or other,126,105,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)"
345,R_9peGerbHPkh4mHf,Tennessee,,,Cheatham,Soybeans ,Corn,Apple,Agree,Agree,Agree,,Blackberries,,,,,,Mushrooms,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,,,Friends or Family,,,Not Very Concerned,,,Checking for ticks after spending time outdoors,,,,,8,Trust,Trust,Trust,Trust,Trust,Trust,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,None of the above or other,115,135,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
189,R_3j6vU5IloVUmnF8,Mississippi,,George,,Hamburger ,Pizza,Apple,Strongly Agree,Agree,Neutral,Pecans,Blackberries,,,,,,,,,Wild Nuts,,,,"Yes, I had heard of Alpha-gal syndrome.",,,,,,Friends or Family,,,Somewhat Concerned,,,Checking for ticks after spending time outdoors,,,,,8,Neutral,Neutral,Trust,Trust,Distrust,Distrust,18 - 24,Male,,,American Indian or Alaska Native,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",,Catholic,58,76,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","Health/natural supermarket (e.g. Whole Foods, Natural Grocers)","Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)"
