Duration (in seconds),Q2,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q33_17,Q33_18,Q33_19,Q33_20,Q33_21,Q33_22,Q33_23,Q33_24,Q33_25,Q33_26,Q33_27,Q33_28,Q33_29,Q33_30,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_7_TEXT,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_6_TEXT,Q20_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q25,Q26,Q27_1,Q28,Q29_5,Q29_6,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q30_14,Q31,opp,gc,term,rid,RISN,V,LS,SVID,transaction_id,PS,Q_BallotBoxStuffing,Q_TotalDuration,Q_CHL,psid,entrySigCheck,race
1022,Arkansas,,,,rice,"rice, soybean and corn",cotton,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),this survey,Neutral,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,10,Distrust,Distrust,Distrust,Trust,Distrust,Neutral,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",2,Catholic,250,12,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Farmers market,,,,,Farmers market,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,7lehEty4G5Gvco3tUYDbvt,29,,1022,anonymous,Value will be set from Panel or URL,on,White
529,Louisiana,Lafayette,,,"Rice, sugar",Beer,Orange ,Neutral,Neutral,Strongly Disagree,Pecans,Blackberries,,,,,,,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),Have not heard of,Neutral,,,Checking for ticks after spending time outdoors,,,,,7,Strongly Distrust,Neutral,Neutral,Neutral,Strongly Distrust,Strongly Distrust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",4,Protestant,101,93,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1z12AJ3jLhheD50SEAchDP,29,,529,anonymous,Value will be set from Panel or URL,on,White
953,Missouri,,,,"My area is overloaded with cattle ranches. The main crop is hay. There are corn producers, but that's probably for feed. Walnut harvest is popular, but those are more wild, not cultivated. I think there is more corn production in northern Missouri.","I think the flood plains are good for growing multiple types of crops, but I mostly know what small farms grow. Squash like yellow squash and zuchini are popular. Also, green beans and tomatoes. Otherwise, beef and chicken are very popular here.","I think more people should grow peas. Pea powder is very nutritious. It seems like if we can grow walnuts then we can grow other nut trees, too.",Strongly Agree,Neutral,Agree,,Blackberries,,,Pawpaws,,,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",Wild Nuts,,,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,,,,,,,Not Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,Other (Please Specify),I have free range chickens.,2,Distrust,Trust,Trust,Distrust,Neutral,Distrust,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",2,Protestant,100,25,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3krQfxedduDLNlSyMT39s7,29,,953,anonymous,Value will be set from Panel or URL,on,White
174,Arkansas,,,,Rice,Rice,Corn,Agree,Agree,Agree,Pecans,Blackberries,,,,,,,,,,,,,"No, I have never heard of this before.",,,,,,Friends or Family,,,Somewhat Concerned,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,8,Distrust,Strongly Trust,Strongly Trust,Trust,Strongly Distrust,Strongly Distrust,75 - 84,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",2,Protestant,126,21,"Supercenter and wholesale (e.g. Walmart, Costco)",,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0s1qWRBASGTVc0C13PLfgM,29,,174,anonymous,Value will be set from Panel or URL,on,White
220,Tennessee,,,Williamson,beef,chickens,seafood,Agree,Agree,Disagree,,Blackberries,,,,,,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"No, I have never heard of this before.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Not Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,1,Distrust,Trust,Trust,Strongly Trust,Strongly Distrust,Distrust,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",4,Jewish,126,100,"Supercenter and wholesale (e.g. Walmart, Costco)",,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Farmers market,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0ovOGOzEXUfS6t25XMlYN3,29,,220,anonymous,Value will be set from Panel or URL,on,White
436,Mississippi,,Rankin,,Cotton,Watermelon ,Vegetables,Agree,Agree,Agree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None,Somewhat Concerned,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,1,Neutral,Trust,Trust,Trust,Neutral,Distrust,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",2,Protestant,240,105,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,Farmers market,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)",Farmers market,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,4XHe1GXWq3b7J6mYpUno3w,29,,436,anonymous,Value will be set from Panel or URL,on,White
218,Arkansas,,,,Tomatoes ,Corn ,Tomatoes ,Agree,Agree,Agree,,,,,,,,,,,,,,None of the above,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,,,,,,,Not Very Concerned,,,Checking for ticks after spending time outdoors,,,,,7,Trust,Strongly Trust,Strongly Trust,Strongly Trust,Trust,Trust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",2,Atheist/Agnostic,98,29,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3rfjqBKmkcG5umR8zK4Kot,29,,218,anonymous,Value will be set from Panel or URL,on,White
781,Arkansas,,,,Rice and corn,Cotton and hay,Olives and grapes,Neutral,Agree,Agree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None,Somewhat Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,2,Strongly Distrust,Neutral,Neutral,Neutral,Distrust,Neutral,45 - 54,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",1,None of the above or other,50,10,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0Jatp0QBWrLnmFvL5vuUsD,29,,781,anonymous,Value will be set from Panel or URL,on,Black/AA
212,Tennessee,,,Hancock,Corn,Soy beanscorn,Wheat,Agree,Agree,Agree,,Blackberries,,,,,,Mushrooms,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,,,Friends or Family,,,Neutral,Using insect repellent when outdoors,,,,,,,1,Distrust,Distrust,Distrust,Trust,Distrust,Neutral,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",2,Protestant,103,43,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,7edAAoE7OsS8LzmbqUrUhw,29,,212,anonymous,Value will be set from Panel or URL,on,White
375,Missouri,,,,Soy beans,Corn,Potatoes ,Agree,Agree,Agree,Pecans,,,,,,,,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),Here,Neutral,Using insect repellent when outdoors,,,Avoiding areas known for a high presence of Lone Star ticks,,,,10,Trust,Neutral,Trust,Trust,Strongly Distrust,Strongly Distrust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",4,Not religious,200,73,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,5f98QZJMbAQ6baybSpjx3K,29,,375,anonymous,Value will be set from Panel or URL,on,White
192,Missouri,,,,Corn,Soybean ,Corn,Disagree,Disagree,Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None,Neutral,Using insect repellent when outdoors,,,,,,,8,Distrust,Trust,Distrust,Neutral,Strongly Distrust,Strongly Distrust,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",3,Protestant,135,40,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2YFkM2qYdR8jEcw9n3VsRt,29,,192,anonymous,Value will be set from Panel or URL,on,White
727,Louisiana,St Tammany,,,Corn and potatoes ,Green beans and corn,Tomatoes ,Neutral,Disagree,Agree,Pecans,Blackberries,,,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,"Educational Institutions (Schools, Colleges, etc.)",,Community Programs or Workshops,,,,Somewhat Concerned,Using insect repellent when outdoors,,,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,8,Neutral,Trust,Trust,Neutral,Neutral,Neutral,18 - 24,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,None of the above or other,200,119,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,Farmers market,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,5qWnc4cdbTJQ2sA0IhRUhQ,29,,727,anonymous,Value will be set from Panel or URL,on,White
458,Mississippi,,Hinds,,Catfish,Catfish,Potatoes,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None,Somewhat Concerned,,Wearing long sleeves and pants when in wooded or grassy areas,,Avoiding areas known for a high presence of Lone Star ticks,,,,0,Strongly Trust,Strongly Trust,Strongly Trust,Strongly Trust,Strongly Trust,Trust,45 - 54,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",2,Protestant,22,5,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,6z7M2eA91ImXLUjQbXvUdL,29,,458,anonymous,Value will be set from Panel or URL,on,Black/AA
699,Arkansas,,,,"Corn, rice","rice, corn, potatoes","fruit, pears, oranges, grapefruit, grapes",Strongly Agree,Agree,Agree,Pecans,,,Muscadine Grapes,,,,Mushrooms,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),"None, you",Somewhat Concerned,,,,Avoiding areas known for a high presence of Lone Star ticks,,Other (Please Specify),Mostly stay in Arkansas,3,Distrust,Trust,Trust,Trust,Distrust,Distrust,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",3,Protestant,125,0,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,7EMJR5GSgvB4XGwdpTlRYP,29,,699,anonymous,Value will be set from Panel or URL,on,White
317,Tennessee,,,Maury,Tobacco,No idea,Dont know,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,Social Media,,,,,Neutral,,,,,,Other (Please Specify),None,5,Distrust,Neutral,Neutral,Neutral,Distrust,Distrust,55 - 64,Non-binary / transgender,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",2,None of the above or other,126,38,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,Farmers market,,,,,Farmers market,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,5lVPYpUp8Medn3nEZOMwD2,29,,317,anonymous,Value will be set from Panel or URL,on,White
470,Arkansas,,,,"Southern cuisine such as fried chicken, mashed potatoes, collard greens. ",Steak and seafood.,More fresh produce.,Agree,Agree,Neutral,,,,,,,,Mushrooms,,,Wild Nuts,,Wild Herbs,,"No, I have never heard of this before.",,,,,,Friends or Family,Other (Please Specify),This website,Neutral,,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,4,Trust,Trust,Trust,Neutral,Distrust,Neutral,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",2,Not religious,76,76,"Supercenter and wholesale (e.g. Walmart, Costco)",,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,,,,,,,,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,33YFO1I81RSUp4tHgPpQfO,29,,470,anonymous,Value will be set from Panel or URL,on,White
505,Arkansas,,,,"Rice, cattle, chickens","Rice, cattle, chickens",Not sure,Agree,Agree,Neutral,Pecans,Blackberries,,,,,,,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None other than today on this survey.,Neutral,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,5,Neutral,Trust,Neutral,Neutral,Trust,Distrust,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,Not religious,155,41,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1kg22RVulmbFBlh0nAGMJ0,29,,505,anonymous,Value will be set from Panel or URL,on,White
197,Tennessee,,,Rutherford,Beef,Hot chicken,More vegetables ,Strongly Agree,Agree,Neutral,,Blackberries,,,,,,,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,,,,,Friends or Family,,,Somewhat Concerned,,Wearing long sleeves and pants when in wooded or grassy areas,,,,,,7,Strongly Distrust,Trust,Strongly Trust,Trust,Strongly Distrust,Strongly Distrust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",1,None of the above or other,163,65,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,63cF98HJcqc727ZB8fkCRm,29,,197,anonymous,Value will be set from Panel or URL,on,White
