Duration (in seconds),LocationLatitude,LocationLongitude,Q2,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q33,Q15,Q16,Q16_7_TEXT,Q17,Q18,Q18_6_TEXT,Q20_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24,Q25,Q26,Q27_1,Q28,Q29_5,Q29_6,Q30,Q31,opp,gc,term,rid,RISN,V,LS,SVID,transaction_id,PS,Q_BallotBoxStuffing,Q_TotalDuration,Q_CHL,psid,entrySigCheck,race
218,36.469,-94.2183,2,,,,Tomatoes ,Corn ,Tomatoes ,4,4,4,30,1,2,,4,3,,7,4,5,5,5,4,4,4,2,1,1,6,2,8,98,29,"4,5,8",8,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3rfjqBKmkcG5umR8zK4Kot,29,,218,anonymous,Value will be set from Panel or URL,on,White
16,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,,,,,19772504,1rTluOTxSF2sKzALbwTiix,,,16,anonymous,Value will be set from Panel or URL,on,
781,34.8775,-92.2265,2,,,,Rice and corn,Cotton and hay,Olives and grapes,3,4,4,30,3,7,None,2,"1,3,4,5",,2,1,3,3,3,2,3,5,2,2,1,3,1,9,50,10,"4,14",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0Jatp0QBWrLnmFvL5vuUsD,29,,781,anonymous,Value will be set from Panel or URL,on,Black/AA
212,36.4679,-83.5543,8,,,34,Corn,Soy beanscorn,Wheat,4,4,4,"18,24",2,6,,3,1,,1,2,2,2,4,2,3,6,2,1,1,1,2,1,103,43,"4,8",8,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,7edAAoE7OsS8LzmbqUrUhw,29,,212,anonymous,Value will be set from Panel or URL,on,White
375,36.0655,-90.0801,7,,,,Soy beans,Corn,Potatoes ,4,4,4,17,3,7,Here,3,"1,4",,10,4,3,4,4,1,1,4,2,1,1,7,4,10,200,73,"4,5,7,8",5,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,5f98QZJMbAQ6baybSpjx3K,29,,375,anonymous,Value will be set from Panel or URL,on,White
192,38.4321,-90.3896,7,,,,Corn,Soybean ,Corn,2,2,2,30,3,7,None,3,1,,8,2,4,2,3,1,1,7,2,1,1,6,3,1,135,40,"4,5,8",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2YFkM2qYdR8jEcw9n3VsRt,29,,192,anonymous,Value will be set from Panel or URL,on,White
727,30.4509,-91.1563,5,52,,,Corn and potatoes ,Green beans and corn,Tomatoes ,3,2,4,"17,18",2,"3,5",,2,"1,4,5",,8,3,4,4,3,3,3,2,2,1,1,3,2,9,200,119,"4,10",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,5qWnc4cdbTJQ2sA0IhRUhQ,29,,727,anonymous,Value will be set from Panel or URL,on,White
458,32.3553,-90.2171,6,,25,,Catfish,Catfish,Potatoes,5,5,5,30,3,7,None,2,"2,4",,0,5,5,5,5,5,4,5,2,2,1,2,2,1,22,5,"4,5,8",5,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,6z7M2eA91ImXLUjQbXvUdL,29,,458,anonymous,Value will be set from Panel or URL,on,Black/AA
699,35.1649,-92.7323,2,,,,"Corn, rice","rice, corn, potatoes","fruit, pears, oranges, grapefruit, grapes",5,4,4,"17,20,24",3,7,"None, you",2,"4,6",Mostly stay in Arkansas,3,2,4,4,4,2,2,6,2,1,1,4,3,1,125,0,"4,7,8",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,7EMJR5GSgvB4XGwdpTlRYP,29,,699,anonymous,Value will be set from Panel or URL,on,White
317,35.6173,-87.0317,8,,,60,Tobacco,No idea,Dont know,3,3,3,30,3,4,,3,6,None,5,2,3,3,3,2,2,6,3,1,1,4,2,9,126,38,"4,8,10",10,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,5lVPYpUp8Medn3nEZOMwD2,29,,317,anonymous,Value will be set from Panel or URL,on,White
470,34.674,-92.357,2,,,,"Southern cuisine such as fried chicken, mashed potatoes, collard greens. ",Steak and seafood.,More fresh produce.,4,4,3,"24,27,29",3,"6,7",This website,3,"2,3,4",,4,4,4,4,3,2,3,3,2,1,1,1,2,10,76,76,"4,6",6,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,33YFO1I81RSUp4tHgPpQfO,29,,470,anonymous,Value will be set from Panel or URL,on,White
505,34.7448,-92.2883,2,,,,"Rice, cattle, chickens","Rice, cattle, chickens",Not sure,4,4,3,"17,18",3,7,None other than today on this survey.,3,"1,3",,5,3,4,3,3,4,2,5,2,1,1,3,2,10,155,41,"4,7,8",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1kg22RVulmbFBlh0nAGMJ0,29,,505,anonymous,Value will be set from Panel or URL,on,White
197,35.8437,-86.3881,8,,,75,Beef,Hot chicken,More vegetables ,5,4,3,18,1,6,,2,2,,7,1,4,5,4,1,1,4,2,1,1,3,1,9,163,65,"4,7,14",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,63cF98HJcqc727ZB8fkCRm,29,,197,anonymous,Value will be set from Panel or URL,on,White
165,35.7163,-86.9093,8,,,94,Tabocvo,Catfish,Shrimp,4,1,3,18,1,6,,3,3,,5,4,3,4,4,1,1,5,2,1,1,6,3,1,93,35,5,5,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,42PqykkpIdbXUIvY59qZUK,29,,165,anonymous,Value will be set from Panel or URL,on,White
4078,36.0869,-84.1897,8,,,1,Corn possibly ,Corn and maybe tobacco,More fruit,3,3,3,18,3,7,NA,5,3,,2,2,4,3,3,2,2,3,2,1,1,8,6,1,192,52,"4,5",5,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2we4pCKg9ktwJx7zQYk5mi,29,,4078,anonymous,Value will be set from Panel or URL,on,White
329,32.4267,-88.4907,6,,38,,Corn,Corn,Squash,4,4,3,24,1,6,,2,"1,2,3,5",,10,1,2,2,2,1,1,5,2,1,1,6,2,9,76,0,"4,5,8,10,11",9,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,5pC9mi3QSUTU4kxHcWtjOz,29,,329,anonymous,Value will be set from Panel or URL,on,White
546,47.6034,-122.3414,2,,,,"Soybeans, rice,","Rice, soybeans,corn","Beets, potatoes",3,3,3,18,1,7,I have it.,2,6,Syay inside,6,3,4,4,3,2,3,5,2,1,1,3,3,9,95,20,"4,7,8,9",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,20ePSzaCNEk3Z7G6pAYwpz,29,,546,anonymous,Value will be set from Panel or URL,on,White
323,39.7351,-105.0269,7,,,,Corn or beans,Beans,Corn,4,4,4,24,1,"2,4,6",,2,"1,2,3",,3,4,4,4,4,3,3,3,2,1,1,3,4,9,100,60,"4,7,8,9,10,14",10,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,4d38RYQj9bgRZ08KrfRkdu,29,,323,anonymous,Value will be set from Panel or URL,on,White
460,38.804,-90.8534,7,,,,Corn,Catfish ,Crab,4,3,4,24,3,7,None,2,"2,3,4",,5,3,3,3,3,3,3,3,2,2,1,3,3,9,201,30,"4,8,9",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0gC7UfemYyLfL1MRHRtobL,29,,460,anonymous,Value will be set from Panel or URL,on,Black/AA
289,35.837,-84.008,8,,,5,Beef,Beef,Beef,5,5,3,"18,20",3,6,,4,4,,7,1,3,3,4,1,4,6,2,1,1,11,3,9,161,103,"4,5,7,8,10,14",5,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1QA4ys6UhTvCXVAt6F6gne,29,,289,anonymous,Value will be set from Panel or URL,on,White
409,37.2567,-93.2944,7,,,,Don't know,Don't know ,Don't know ,3,3,3,30,1,"6,7",Coworkers,1,"4,6",Avoiding areas I think ticks might be,5,3,4,4,3,3,3,4,2,1,1,4,1,1,100,35,4,4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0Nv8KIVXXM8iJarpfE7ClB,29,,409,anonymous,Value will be set from Panel or URL,on,White
141,32.6205,-90.0061,6,,45,,Potatoes ,Corn,Fish,3,3,3,23,3,4,,3,2,,6,3,3,3,3,3,3,3,2,2,1,11,6,9,166,155,6,9,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,6C5w41jIiSGv4w63Vvsdlx,29,,141,anonymous,Value will be set from Panel or URL,on,Black/AA
375,33.9524,-117.3806,8,,,62,Tomatoes ,Turnips ,Fruits,4,4,3,18,2,"2,4,6",,4,"1,3,4",,5,4,4,3,4,1,2,5,1,1,1,11,3,1,178,105,"4,5,6,7,8,10,14",5,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,5lp9ALyPr3P0vBKim7rkFU,29,,375,anonymous,Value will be set from Panel or URL,on,White
591,39.0718,-93.7114,7,,,,"Soy beans, Corn, Apples","Peanuts, Cotton, Corn, Soy beans, Strawberries","Loquats, Avocado, ",4,4,4,"17,24,26,29",1,"2,4",,2,"1,4",,7,4,4,5,5,4,3,5,2,1,1,2,2,9,135,10,"4,5,7",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3DZFBSk2ZcGrkqe4dGgT13,29,,591,anonymous,Value will be set from Panel or URL,on,White
864,36.3066,-86.6101,8,,,83,corn hay cotton,Catfish walleye bass,Corn,3,3,3,30,3,7,Never heard of it,4,6, No measures,8,3,3,3,3,3,3,4,2,1,1,1,,10,206,49,"4,5",5,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,4RbPmyV1JVahUyXDoEthhY,29,,864,anonymous,Value will be set from Panel or URL,on,White
345,36.2949,-88.6973,8,,,92,"corn, sweet potatoes, beans ",Fruit ,Fruit ,4,4,3,18,3,4,,4,1,,5,1,4,3,4,1,1,3,2,1,1,7,6,1,101,200,"4,5,7,8,9,11,13",11,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0Gxn7y34o4J7r1K5hTFmTI,29,,345,anonymous,Value will be set from Panel or URL,on,White
335,39.214,-94.7191,7,,,,None,None,None,3,3,3,30,3,2,,5,4,,5,4,4,4,4,1,1,7,1,15,1,5,2,2,84,9,"4,5",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,6QHLy1FWI7NTKFscEMxtW1,29,,335,anonymous,Value will be set from Panel or URL,on,American Indian or Alaska Native or Others
255,31.7578,-93.0908,5,35,,,Crawfish,Rice,Wheat,3,3,3,24,3,6,,3,4,,10,3,3,3,3,3,3,4,2,1,1,11,3,9,174,90,"4,5",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0WdWAtvsXBZ961rvusx3mf,29,,255,anonymous,Value will be set from Panel or URL,on,White
421,37.9475,-91.7636,7,,,,Tomato ,Onions,Peaches,1,1,1,30,3,7,None,5,4,,10,3,4,4,1,1,1,6,2,1,1,4,1,1,43,16,"4,8",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,50YleiQPE060J9AU4GygVt,29,,421,anonymous,Value will be set from Panel or URL,on,White
755,36.1723,-86.6608,8,,,87,Corn and tomatoes ,Shrimp and crawfish,Lobster,4,3,3,30,3,7,The survey ,5,3,,7,2,3,3,3,2,2,7,2,1,1,11,7,1,250,149,"4,5,8,11",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,4PFvK53lJT6WajOy3SUpRg,29,,755,anonymous,Value will be set from Panel or URL,on,White
214,30.3586,-90.0561,5,52,,,Rice,Rice,Rice,4,4,3,30,3,7,,5,6,,7,2,2,2,2,2,2,6,2,1,2,3,4,9,131,250,4,5,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,42sPbbmFvAtAaog3j8lpYE,29,,214,anonymous,Value will be set from Panel or URL,on,
344,34.7269,-92.344,2,,,,Rice ,Cotten ,Leafy greens,3,3,3,24,3,4,,4,"1,2,4,5",,5,4,4,4,4,4,3,4,1,2,1,10,2,1,75,49,"4,6,8,10",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0oZeeBFpHTh5T2Q2dRS0dc,29,,344,anonymous,Value will be set from Panel or URL,on,Black/AA
173,38.4365,-92.8258,7,,,,Oranges,Chicken,Idk,1,2,3,"17,18,19,26",3,1,,2,2,,4,3,3,4,4,4,3,2,2,1,3,1,2,10,18,26,5,4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1EThLZrUzPrPjiFgJc4SG4,29,,173,anonymous,Value will be set from Panel or URL,on,
234,29.9381,-90.0309,5,36,,,"Gumbo, Red beans and rice",Seafood,Nit sure,4,4,4,30,2,2,,1,5,,3,2,3,2,4,1,1,5,2,1,1,2,2,10,48,65,"4,7",11,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,5fX38hWvkOJan6zKtA5oE7,29,,234,anonymous,Value will be set from Panel or URL,on,White
428,36.3438,-85.6355,8,,,44,"Corn, soybean, strawberries",Rice,Not sure,4,4,4,18,1,"2,4,6",,1,"1,2,3,4,5",,7,2,4,3,4,1,1,7,2,1,3,9,2,2,143,33,"4,5,8,9,10",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,6OBTxCeFWYGppzH0LvAgKj,29,,428,anonymous,Value will be set from Panel or URL,on,
712,35.1387,-90.0095,2,,,,Zucchini and zucchini squash ,Don’t know ,"Apples, bananas ",3,3,3,"18,20,23",1,"2,4,6",,5,3,,7,4,5,5,5,4,4,2,2,1,5,6,1,1,32,100,"4,8",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0gN5PZuIRLrIH0fSGksnBp,29,,712,anonymous,Value will be set from Panel or URL,on,
15,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6520702d-57a7-8538-cc0b-c3c912ef3c51,41868610,H,,,,,,15,anonymous,Value will be set from Panel or URL,on,
18,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6520711b-efda-2299-24c5-fcac51347a3e,41868610,H,,,,,,18,anonymous,Value will be set from Panel or URL,on,
14,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207130-53c8-b275-4a5f-47ca45fd8205,41868610,H,,,,,,14,anonymous,Value will be set from Panel or URL,on,
16,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207118-3485-2d37-3cae-4e90f71372b0,41868610,H,,,,,,16,anonymous,Value will be set from Panel or URL,on,
15,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207139-85a0-2529-8066-e71012651565,41868610,H,,,,,,15,anonymous,Value will be set from Panel or URL,on,
18,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207153-bf7d-5d22-7827-591de370a041,41868610,H,,,,,,18,anonymous,Value will be set from Panel or URL,on,
27,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207147-211e-5764-9ecf-acbbfa147870,41868610,H,,,,,,27,anonymous,Value will be set from Panel or URL,on,
19,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207159-44ce-1b5e-8fb3-1c504f1fee87,41868610,H,,,,,,19,anonymous,Value will be set from Panel or URL,on,
23,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207168-bacd-6989-450f-2012f3eaa8a3,41868610,H,,,,,,23,anonymous,Value will be set from Panel or URL,on,
21,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207188-4119-9c76-c084-9edeed3ace45,41868610,H,,,,,,21,anonymous,Value will be set from Panel or URL,on,
18,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652071fb-d85e-4175-7e23-4df98ed651f1,41868610,H,,,,,,18,anonymous,Value will be set from Panel or URL,on,
17,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6520720e-3d40-4e30-f3f8-02c46e28fcec,41868610,H,,,,,,17,anonymous,Value will be set from Panel or URL,on,
20,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207224-0fde-666b-b8de-ffda1b97c467,41868610,H,,,,,,20,anonymous,Value will be set from Panel or URL,on,
83,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,652071cc-d221-714d-3f1a-f8867b14aa02,41868610,H,,,,,,83,anonymous,Value will be set from Panel or URL,on,
26,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6520722c-1171-601e-6a4c-444bf55589b4,41868610,H,,,,,,26,anonymous,Value will be set from Panel or URL,on,
15,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207236-53d6-0187-8526-bed1c77e0a1f,41868610,H,,,,,,15,anonymous,Value will be set from Panel or URL,on,
34,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207220-5232-a1cd-ac31-497aedb05c25,41868610,H,,,,,,34,anonymous,Value will be set from Panel or URL,on,
16,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6520725a-d6ce-718b-8d71-a08f7f0dbb5e,41868610,H,,,,,,16,anonymous,Value will be set from Panel or URL,on,
31,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207247-e583-f133-1827-95b5895d36f4,41868610,H,,,,,,31,anonymous,Value will be set from Panel or URL,on,
310,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6520714b-282d-c483-3daa-18e0a1fd80ba,41868610,H,,,,,,310,anonymous,Value will be set from Panel or URL,on,
10,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207298-4a5e-b672-18d1-ca5c44361c80,41868610,H,,,,,,10,anonymous,Value will be set from Panel or URL,on,
19,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6520732f-5059-862a-9b9b-9f52614eb50a,41868610,H,,,,,,19,anonymous,Value will be set from Panel or URL,on,
25,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207341-461e-efde-3dcb-6a9d1161a0ca,41868610,H,,,,,,25,anonymous,Value will be set from Panel or URL,on,
16,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207359-878a-d622-8c39-db393eb18126,41868610,H,,,,,,16,anonymous,Value will be set from Panel or URL,on,
35,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,6520736c-19cb-6eae-1f72-8073299c0c93,41868610,H,,,,,,35,anonymous,Value will be set from Panel or URL,on,
50,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207334-2c3a-0592-b594-ad9021844743,41868610,H,,,,,,50,anonymous,Value will be set from Panel or URL,on,
398,,,6,,38,,Catfish and Okra.,Catfish and Crawfish.,"Not Much, Mississippi has a variety of crops growing i just wish that there were more dishes from different cultures around where i live. ",4,2,2,30,3,7,This Survey,2,"1,2,3,4",,5,4,5,4,4,3,2,1,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,age,652071dd-bd11-e4bb-c8d8-9a618caf7065,41868610,H,,,,,,398,anonymous,Value will be set from Panel or URL,on,
23,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual29638-0912-ConsumersStudy[BA],2,states,65207391-07b8-6265-42d7-8f257ad91e21,41868610,H,,,,,,23,anonymous,Value will be set from Panel or URL,on,
