"","Q10","count","state"
"275","pecans",2,"tennessee"
"276","pintobeans",1,"tennessee"
"277","pizza",12,"tennessee"
"278","poke",1,"tennessee"
"279","polksalad",1,"tennessee"
"280","pork",4,"tennessee"
"281","potatoes",9,"tennessee"
"282","pulledpork",1,"tennessee"
"283","pumpkin",4,"tennessee"
"284","ramps",2,"tennessee"
"285","ribs",1,"tennessee"
"286","rice",5,"tennessee"
"287","salet",1,"tennessee"
"288","sausage",1,"tennessee"
"289","seafood",1,"tennessee"
"290","servicefooditems",1,"tennessee"
"291","skittles",1,"tennessee"
"292","smartfoodpopcorn",1,"tennessee"
"293","smokedmeat",1,"tennessee"
"294","snacks",1,"tennessee"
"295","sorghum",2,"tennessee"
"296","soulfood",1,"tennessee"
"297","soybeans",38,"tennessee"
"298","spaghetti",1,"tennessee"
"299","spinach",1,"tennessee"
"300","squash",2,"tennessee"
"301","starchyfood",1,"tennessee"
"302","steak",6,"tennessee"
"303","strawberries",7,"tennessee"
"304","sunflowers",1,"tennessee"
"305","sweetpotatoes",2,"tennessee"
"306","tabacco",1,"tennessee"
"307","tennessee",1,"tennessee"
"308","tinnituspumpkins",1,"tennessee"
"309","tobacco",12,"tennessee"
"310","tomatoes",23,"tennessee"
"311","vegetables",6,"tennessee"
"312","watermelon",2,"tennessee"
"313","wheat",11,"tennessee"
"314","whiskey",6,"tennessee"
"315","wich",1,"tennessee"
"316","yellowsquash",1,"tennessee"
