Duration (in seconds),RecordedDate,ResponseId,Q2,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18_5,Q21
228,2/21/2024 10:05,R_5Eg9mbVmtmMOGNR,New Jersey,4.75,1.75,2,0.8,0.3,Somewhat agree,4,4,3,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,I don't know.,Locally grown is superior.,I don't know.,They are about the same.,Locally grown is superior.,I don't know.,Locally grown is superior.,The mid west and southern states,"Alabama,Arkansas,Louisiana,Mississippi,Missouri",55 - 64,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",200,Supermarket
267,2/21/2024 10:06,R_1HwayUC35zsgzU8,North Carolina,4.25,1.25,1.75,0.7,0.25,Strongly agree,3,3,3,3,3,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Unsure ,Mississippi,35 - 44,Female,White,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",116,Supermarket
243,2/21/2024 10:06,R_3Bg1W4MzKBMi9FI,Pennsylvania,4.25,1.25,2,1.1,0.3,Strongly agree,4,5,3,3,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,Don't know what it's like,Mississippi,55 - 64,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",144,Supermarket
289,2/21/2024 10:06,R_1hxnT5kKAvyggAk,Alabama,3.5,1,1.75,0.7,0.1,Strongly agree,4,4,4,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Local,"Alabama,Arkansas,Louisiana,Mississippi",35 - 44,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",45,Supermarket
249,2/21/2024 10:06,R_7tbSbtZtR1QB7dR,Kentucky,3.75,1.75,2,0.8,0.3,Strongly agree,4,4,4,4,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Rich soil,Mississippi,65 - 74,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",38,Supermarket
248,2/21/2024 10:06,R_5RaVuqMSRoOU3lH,North Carolina,3.5,1,2,0.9,0.3,Somewhat agree,5,4,3,4,5,Locally grown is superior.,Locally grown is superior.,I don't know.,I don't know.,I don't know.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is superior.,I don't know.,I don't know.,NICE AREA,"Alabama,Arkansas,Louisiana,Mississippi",55 - 64,Male,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",20,Supermarket
185,2/21/2024 10:06,R_3OcyeNUvTEv0S65,Vermont,3,0.5,3,1.3,0.15,Somewhat agree,4,4,3,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is inferior,Locally grown is superior.,Locally grown is superior.,Farming,Mississippi,25 - 34,Female,"White,Black or African American","No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",80,Supermarket
385,2/21/2024 10:07,R_7nVV6f4XY9ofRCh,Florida,2.5,0.75,1.75,0.5,0.2,Somewhat agree,3,3,3,3,4,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is inferior,Locally grown is superior.,They are about the same.,I don't know.,Great landscape ,Kansas,55 - 64,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",101,Direct from a Producer
329,2/21/2024 10:07,R_1EvkYzR4rlgw6WZ,South Carolina,4.75,1.5,2,0.9,0.3,Somewhat agree,4,5,3,4,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,I don't know.,I don't know.,I don't know.,I don't know.,They are about the same.,I don't know.,I don't know.,fertile farming area,"Louisiana,Mississippi",65 - 74,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",89,Supermarket
180,2/21/2024 10:07,R_3q1FTpEVtqMCuUF,California,2.25,1.5,2.75,1,0.3,Somewhat disagree,3,4,4,4,4,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,a major part of the deep south,"Arkansas,Louisiana,Mississippi",75 - 84,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",64,Supermarket
359,2/21/2024 10:07,R_5S1E9Gcr99AODT2,Wisconsin,3,0,1.5,0.6,0.25,Strongly agree,4,5,2,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is inferior,They are about the same.,Locally grown is superior.,Rich farmland,Mississippi,65 - 74,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",130,Supermarket
155,2/21/2024 10:08,R_6ERvwD51XhlY8df,Florida,4.5,1.5,1.5,0.7,0.25,Strongly agree,5,3,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,farm land,Mississippi,25 - 34,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",138,Farmers Market
273,2/21/2024 10:08,R_5BOW81Z03xkLc3L,Texas,2.75,1.25,1.75,0.7,0.25,Somewhat agree,5,5,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Wet and humid,"Louisiana,Mississippi",65 - 74,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",139,Supermarket
314,2/21/2024 10:08,R_5lb48EHJxmFcnXv,Georgia,4.75,1.75,2.25,1,0.5,Neither agree nor disagree,4,4,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know about the Mississippi Delta region ,Mississippi,35 - 44,Female,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",61,Supermarket
404,2/21/2024 10:08,R_5hMhmD6ymoJasVq,Florida,2.25,0,1.75,0.7,0.25,Somewhat agree,1,5,1,1,3,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,don't know,"Alabama,Arkansas,Kentucky,Louisiana,Mississippi",75 - 84,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",100,Supermarket
163,2/21/2024 10:09,R_14uC1hOyCYPR4ON,Rhode Island,2.25,0.75,1.5,0.5,0.15,Strongly agree,5,5,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Fertile,"Alabama,Arkansas,Kansas,Mississippi,Missouri,Oklahoma",45 - 54,Male,Other Asian,"Yes, Puerto Rican","$70,000 - $79,999",200,Supermarket
429,2/21/2024 10:10,R_73Dwf7vyUI3djqd,California,2.25,0.75,1.5,1.5,0.5,Strongly agree,4,4,4,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,They are about the same.,They are about the same.,I don't know.,Locally grown is inferior,I don't know.,I don't know.,I don't know.,Farming and fresh ,Mississippi,65 - 74,Female,American Indian or Alaska Native,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",55,Supermarket
207,2/21/2024 10:10,R_1QswkgmG4QHDlaZ,Connecticut,2.25,0,2,0.8,0.2,Neither agree nor disagree,2,2,2,3,1,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,DONT KNOW,Wisconsin,65 - 74,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",0,Specialty Food Store
166,2/21/2024 10:10,R_7dT11fAUF4iGCv9,Connecticut,3.75,1,1,0.7,0.25,Somewhat agree,3,3,3,3,4,Locally grown is inferior,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Farm land,"Kentucky,Mississippi",65 - 74,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",141,Supermarket
260,2/21/2024 10:10,R_1kAqiZgSSTIpN1O,Alabama,3.25,2,1.75,1,0.3,Somewhat agree,4,2,3,2,4,Locally grown is superior.,They are about the same.,Locally grown is inferior,Locally grown is superior.,I don't know.,Locally grown is superior.,They are about the same.,Locally grown is inferior,Locally grown is superior.,They are about the same.,Locally grown is superior.,Nothing in particular ,"Alabama,Louisiana,Mississippi",45 - 54,Male,Black or African American,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",54,Supermarket
501,2/21/2024 10:10,R_6zfbRaOypf7k9BT,Virginia,3,1,1,0.7,0.2,Somewhat agree,3,2,2,2,2,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Cool Area ,"Arkansas,Illinois,Indiana,Iowa,Kentucky,Mississippi,Oklahoma,Tennessee",35 - 44,Male,White,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",86,Supermarket
393,2/21/2024 10:10,R_5rYttahqEYT3H8m,Florida,2.25,1.25,1.25,0.2,0.25,Strongly agree,4,4,4,2,3,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Guess ok,Mississippi,75 - 84,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",77,Supermarket
225,2/21/2024 10:11,R_3nSfUHnua5t6An1,Colorado,4.5,1.25,2,0.8,0.3,Strongly agree,4,5,4,4,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,I don't know.,Locally grown is superior.,I don't know.,I don't know.,Lush and productive,"Alabama,Arkansas,Louisiana,Mississippi",65 - 74,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",59,Health/Natural Food Store
244,2/21/2024 10:11,R_133OOS2Pew4hGSm,North Carolina,4.75,2,1.25,1,0.35,Somewhat agree,3,4,3,3,4,Locally grown is inferior,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is inferior,Locally grown is superior.,They are about the same.,They are about the same.,I'm not sure exactly ,Mississippi,25 - 34,Male,White,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",105,Supermarket
290,2/21/2024 10:11,R_7yjPUtMsK2zdlBD,Utah,3.5,2,3,1.3,0.5,Strongly agree,4,5,3,3,4,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Soil enriched,"Arkansas,Louisiana,Mississippi",65 - 74,Female,White,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",83,Farmers Market
516,2/21/2024 10:11,R_5j0g8y7ikHzrExB,South Carolina,6.25,2.5,3.5,1.3,0.5,Somewhat agree,5,5,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,United states ,"Mississippi,Missouri,Oklahoma,Tennessee",55 - 64,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",200,Supermarket
327,2/21/2024 10:11,R_7jffzAr4yhF6tEp,West Virginia,5.75,2,3,1.1,0.45,Strongly agree,4,5,4,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,I don't know.,Agricultural  freshness ,"Iowa,Kansas,Louisiana,Minnesota",65 - 74,Male,White,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",200,Specialty Food Store
279,2/21/2024 10:11,R_7QumEwTFKO0x1aE,Virginia,5.25,1.5,2,1,0.3,Strongly agree,5,5,5,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,I don't know.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,rural farmland,"Alabama,Arkansas,Mississippi",55 - 64,Male,White,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",101,Supermarket
380,2/21/2024 10:11,R_7eW90nHC0Zn1ZMK,Georgia,3.25,1.25,1.75,0.8,0,Strongly agree,4,5,3,3,4,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is superior.,Locally grown is superior.,Fertile,"Alabama,Mississippi",65 - 74,Female,American Indian or Alaska Native,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",65,Supermarket
297,2/21/2024 10:12,R_32DeNW0LlNXYfG4,Arizona,4.25,1.25,1.75,0.7,0.25,Strongly agree,5,5,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,A lot of water,Louisiana,65 - 74,Male,White,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",150,Supermarket
404,2/21/2024 10:13,R_11HrJsV21cw2dh4,Colorado,4.25,1.25,1.75,0.8,0.25,Strongly agree,5,5,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,Marshy and far from me,"Alabama,Arkansas,Louisiana,Mississippi",55 - 64,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",160,Farmers Market
777,2/21/2024 10:16,R_5IuDJSnNOhuN7hf,Pennsylvania,3.75,1,1.5,0.7,0.25,Strongly agree,3,4,3,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,wet and wild,"Arkansas,Louisiana,Mississippi,Tennessee",75 - 84,Male,White,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",80,Supermarket
541,2/21/2024 10:16,R_7LFMYe50EHVj69E,Florida,5.25,2.5,3.25,1.5,0.4,Somewhat agree,4,4,4,4,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,soil water and sun,"Arkansas,Louisiana,Mississippi",35 - 44,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",200,Farmers Market
620,2/21/2024 10:17,R_3dkXG2p1H4j2rG9,North Carolina,4,1,0.75,0.7,0.3,Somewhat agree,4,3,4,3,4,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,seems interesting,Missouri,25 - 34,Male,White,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",86,Specialty Food Store
581,2/21/2024 10:17,R_76aLMvN4TNdRsla,Washington,3,1.25,1,0.5,0.2,Strongly agree,5,5,5,5,5,They are about the same.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,I don't know.,They are about the same.,Locally grown is superior.,I don't know.,Locally grown is superior.,Lush and green,"Alabama,Arkansas,Mississippi,Missouri,Oklahoma,Tennessee",55 - 64,Female,White,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",50,Supermarket
892,2/21/2024 10:19,R_1ZHYCSl2IEzD1Hr,Georgia,4.25,1.25,1.75,0.7,0.25,Strongly agree,5,5,4,4,5,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,They are about the same.,They are about the same.,Locally grown is inferior,Locally grown is inferior,They are about the same.,Locally grown is inferior,They are about the same.,They are about the same.,An area that generates great produce and vegetables,"Alabama,Louisiana,Mississippi",55 - 64,Male,White,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",200,Supermarket
