duration,ResponseId,Q2,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q16,Q17,Q18_5,Q21
354,R_6qlksEt9uIWZah3,Maine,5,1.75,2.5,1,0.45,Strongly agree,5,5,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,I don't know.,have no idea,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",43,Supermarket
228,R_5Eg9mbVmtmMOGNR,New Jersey,4.75,1.75,2,0.8,0.3,Somewhat agree,4,4,3,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,I don't know.,Locally grown is superior.,I don't know.,They are about the same.,Locally grown is superior.,I don't know.,Locally grown is superior.,The mid west and southern states,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,Missouri,,,,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",200,Supermarket
243,R_3Bg1W4MzKBMi9FI,Pennsylvania,4.25,1.25,2,1.1,0.3,Strongly agree,4,5,3,3,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,Don't know what it's like,,,,,,,,,,Mississippi,,,,,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",144,Supermarket
289,R_1hxnT5kKAvyggAk,Alabama,3.5,1,1.75,0.7,0.1,Strongly agree,4,4,4,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Local,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",45,Supermarket
248,R_5RaVuqMSRoOU3lH,North Carolina,3.5,1,2,0.9,0.3,Somewhat agree,5,4,3,4,5,Locally grown is superior.,Locally grown is superior.,I don't know.,I don't know.,I don't know.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is superior.,I don't know.,I don't know.,NICE AREA,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,55 - 64,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",20,Supermarket
185,R_3OcyeNUvTEv0S65,Vermont,3,0.5,3,1.3,0.15,Somewhat agree,4,4,3,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is inferior,Locally grown is superior.,Locally grown is superior.,Farming,,,,,,,,,,Mississippi,,,,,,25 - 34,Female,White,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",80,Supermarket
385,R_7nVV6f4XY9ofRCh,Florida,2.5,0.75,1.75,0.5,0.2,Somewhat agree,3,3,3,3,4,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is inferior,Locally grown is superior.,They are about the same.,I don't know.,Great landscape ,,,,,,Kansas,,,,,,,,,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",101,Direct from a Producer
329,R_1EvkYzR4rlgw6WZ,South Carolina,4.75,1.5,2,0.9,0.3,Somewhat agree,4,5,3,4,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,I don't know.,I don't know.,I don't know.,I don't know.,They are about the same.,I don't know.,I don't know.,fertile farming area,,,,,,,,Louisiana,,Mississippi,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",89,Supermarket
180,R_3q1FTpEVtqMCuUF,California,2.25,1.5,2.75,1,0.3,Somewhat disagree,3,4,4,4,4,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,a major part of the deep south,,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,75 - 84,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",64,Supermarket
359,R_5S1E9Gcr99AODT2,Wisconsin,3,0,1.5,0.6,0.25,Strongly agree,4,5,2,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is inferior,They are about the same.,Locally grown is superior.,Rich farmland,,,,,,,,,,Mississippi,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",130,Supermarket
155,R_6ERvwD51XhlY8df,Florida,4.5,1.5,1.5,0.7,0.25,Strongly agree,5,3,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,farm land,,,,,,,,,,Mississippi,,,,,,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",138,Farmers Market
314,R_5lb48EHJxmFcnXv,Georgia,4.75,1.75,2.25,1,0.5,Neither agree nor disagree,4,4,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know about the Mississippi Delta region ,,,,,,,,,,Mississippi,,,,,,35 - 44,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",61,Supermarket
404,R_5hMhmD6ymoJasVq,Florida,2.25,0,1.75,0.7,0.25,Somewhat agree,1,5,1,1,3,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,don't know,Alabama,Arkansas,,,,,Kentucky,Louisiana,,Mississippi,,,,,,75 - 84,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",100,Supermarket
429,R_73Dwf7vyUI3djqd,California,2.25,0.75,1.5,1.5,0.5,Strongly agree,4,4,4,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,They are about the same.,They are about the same.,I don't know.,Locally grown is inferior,I don't know.,I don't know.,I don't know.,Farming and fresh ,,,,,,,,,,Mississippi,,,,,,65 - 74,Female,,,American Indian or Alaska Native,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",55,Supermarket
207,R_1QswkgmG4QHDlaZ,Connecticut,2.25,0,2,0.8,0.2,Neither agree nor disagree,2,2,2,3,1,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,DONT KNOW,,,,,,,,,,,,,,,Wisconsin,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",0,Specialty Food Store
166,R_7dT11fAUF4iGCv9,Connecticut,3.75,1,1,0.7,0.25,Somewhat agree,3,3,3,3,4,Locally grown is inferior,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Farm land,,,,,,,Kentucky,,,Mississippi,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",141,Supermarket
260,R_1kAqiZgSSTIpN1O,Alabama,3.25,2,1.75,1,0.3,Somewhat agree,4,2,3,2,4,Locally grown is superior.,They are about the same.,Locally grown is inferior,Locally grown is superior.,I don't know.,Locally grown is superior.,They are about the same.,Locally grown is inferior,Locally grown is superior.,They are about the same.,Locally grown is superior.,Nothing in particular ,Alabama,,,,,,,Louisiana,,Mississippi,,,,,,45 - 54,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",54,Supermarket
501,R_6zfbRaOypf7k9BT,Virginia,3,1,1,0.7,0.2,Somewhat agree,3,2,2,2,2,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Cool Area ,,Arkansas,Illinois,Indiana,Iowa,,Kentucky,,,Mississippi,,,Oklahoma,Tennessee,,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",86,Supermarket
393,R_5rYttahqEYT3H8m,Florida,2.25,1.25,1.25,0.2,0.25,Strongly agree,4,4,4,2,3,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Guess ok,,,,,,,,,,Mississippi,,,,,,75 - 84,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",77,Supermarket
225,R_3nSfUHnua5t6An1,Colorado,4.5,1.25,2,0.8,0.3,Strongly agree,4,5,4,4,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,I don't know.,Locally grown is superior.,I don't know.,I don't know.,Lush and productive,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",59,Health/Natural Food Store
244,R_133OOS2Pew4hGSm,North Carolina,4.75,2,1.25,1,0.35,Somewhat agree,3,4,3,3,4,Locally grown is inferior,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is inferior,Locally grown is superior.,They are about the same.,They are about the same.,I'm not sure exactly ,,,,,,,,,,Mississippi,,,,,,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",105,Supermarket
290,R_7yjPUtMsK2zdlBD,Utah,3.5,2,3,1.3,0.5,Strongly agree,4,5,3,3,4,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Soil enriched,,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",83,Farmers Market
327,R_7jffzAr4yhF6tEp,West Virginia,5.75,2,3,1.1,0.45,Strongly agree,4,5,4,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,I don't know.,Agricultural  freshness ,,,,,Iowa,Kansas,,Louisiana,Minnesota,,,,,,,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",200,Specialty Food Store
279,R_7QumEwTFKO0x1aE,Virginia,5.25,1.5,2,1,0.3,Strongly agree,5,5,5,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,I don't know.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,rural farmland,Alabama,Arkansas,,,,,,,,Mississippi,,,,,,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",101,Supermarket
380,R_7eW90nHC0Zn1ZMK,Georgia,3.25,1.25,1.75,0.8,0,Strongly agree,4,5,3,3,4,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is superior.,Locally grown is superior.,Fertile,Alabama,,,,,,,,,Mississippi,,,,,,65 - 74,Female,,,American Indian or Alaska Native,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",65,Supermarket
404,R_11HrJsV21cw2dh4,Colorado,4.25,1.25,1.75,0.8,0.25,Strongly agree,5,5,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,Marshy and far from me,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",160,Farmers Market
777,R_5IuDJSnNOhuN7hf,Pennsylvania,3.75,1,1.5,0.7,0.25,Strongly agree,3,4,3,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,wet and wild,,Arkansas,,,,,,Louisiana,,Mississippi,,,,Tennessee,,75 - 84,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",80,Supermarket
620,R_3dkXG2p1H4j2rG9,North Carolina,4,1,0.75,0.7,0.3,Somewhat agree,4,3,4,3,4,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,seems interesting,,,,,,,,,,,Missouri,,,,,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",86,Specialty Food Store
581,R_76aLMvN4TNdRsla,Washington,3,1.25,1,0.5,0.2,Strongly agree,5,5,5,5,5,They are about the same.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,I don't know.,They are about the same.,Locally grown is superior.,I don't know.,Locally grown is superior.,Lush and green,Alabama,Arkansas,,,,,,,,Mississippi,Missouri,,Oklahoma,Tennessee,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",50,Supermarket
892,R_1ZHYCSl2IEzD1Hr,Georgia,4.25,1.25,1.75,0.7,0.25,Strongly agree,5,5,4,4,5,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,They are about the same.,They are about the same.,Locally grown is inferior,Locally grown is inferior,They are about the same.,Locally grown is inferior,They are about the same.,They are about the same.,An area that generates great produce and vegetables,Alabama,,,,,,,Louisiana,,Mississippi,,,,,,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",200,Supermarket
129,R_1f2WWg23QrDuyT7,Kentucky,4,1.5,1,0.6,0.2,Strongly agree,4,4,3,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,percise,,,Illinois,Indiana,,,Kentucky,,,,,,,,,18 - 24,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",47,Supermarket
297,R_3EdmflmOI4xyebv,South Carolina,2.25,0,0,0,0,Strongly agree,1,3,3,1,5,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,Local hillbilly,,,,,,,,,,Mississippi,,,,,,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",200,Supermarket
322,R_3i9Ho5B0MBjyRvv,Virginia,3.75,1,1.75,0.7,0.25,Strongly agree,5,5,4,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is superior.,Locally grown is superior.,I don't know.,No clue ,,,,,,,,,,Mississippi,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",120,Supermarket
591,R_7HzEkgniyi29sYU,Washington,4.5,1.5,2,0.9,0.4,Strongly agree,4,5,1,1,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,They are about the same.,They are about the same.,Locally grown is superior.,I don't know.,I don't know.,I don't know.,I don't know.,I belirve it has very rich soil good for farming,,Arkansas,,,,,,,,Mississippi,Missouri,,,,,75 - 84,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",52,Supermarket
766,R_6VRtxKIgQ5r7C0h,Florida,4.25,1.25,1.75,0.7,0.25,Strongly agree,3,5,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Classic old,,,,,,,,,,Mississippi,,,,,,55 - 64,Female,,,,,,Chinese,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",45,Supermarket
211,R_7XdFo44zucmzJx7,North Carolina,4,1.25,2,0.7,0.2,Strongly agree,4,5,5,4,5,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,Locally grown is superior.,very rural,,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,45 - 54,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",60,Supermarket
189,R_31cWrUpallGbilr,Kansas,4.25,1.25,1.75,0.8,0.25,Strongly agree,4,4,3,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Swamp hot,,Arkansas,,,,,,,,Mississippi,,,,,,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",85,Supermarket
124,R_6GIzksW047BmJPU,North Carolina,3.75,0.75,1.5,0.4,0.3,Somewhat agree,4,4,3,4,4,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Lots of water,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",143,Farmers Market
337,R_7EZCmqChX21hoxE,Pennsylvania,4.25,2.5,1.75,1,0.35,Strongly agree,5,5,3,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,They are about the same.,I don't know.,They are about the same.,They are about the same.,I don't know.,I don't know.,I don't know.,Northwest US,Alabama,,Illinois,,,,Kentucky,Louisiana,,,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",120,Supermarket
302,R_5TzqXx4W9oE2lRz,Maryland,3.75,1.25,1.75,0.5,0.25,Strongly agree,5,2,3,2,1,Locally grown is inferior,Locally grown is superior.,They are about the same.,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is inferior,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Fresh,,,,,,,Kentucky,,,,,,,Tennessee,,55 - 64,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",85,Supermarket
155,R_746n1HmSpChjAPY,California,4.5,1,0.75,0,0.5,Somewhat agree,4,2,3,4,4,Locally grown is superior.,They are about the same.,Locally grown is inferior,They are about the same.,Locally grown is inferior,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is inferior,Big huge ,Alabama,,,Indiana,,,,,,Mississippi,Missouri,Ohio,,,,18 - 24,Female,White,,,,,,,,,,,,,,,"Yes, Mexican, Mexican American, Chicano","$10,000 - $19,999",97,Health/Natural Food Store
